sp_id,serialno,stcotrbg,hh_race,hh_income,hh_size,hh_age,latitude,longitude
01077010100-92,1392659,01077010100,2,0,1,34,34.8104047020937,-87.6826146816
01077010100-93,1292520,01077010100,2,0,1,32,34.8071714509606,-87.6772986682122
01077010100-94,940222,01077010100,2,0,1,26,34.8076062417112,-87.677360962588
01077010100-95,646897,01077010100,2,0,1,34,34.8088869357248,-87.6779222898737
01077010100-96,1292520,01077010100,2,0,1,32,34.8136240154518,-87.6637890946856
01077010100-97,1076033,01077010100,2,0,1,29,34.812800326568,-87.6638584235028
01077010100-98,643535,01077010100,2,4300,1,42,34.8119096106618,-87.6624981103784
01077010100-99,856745,01077010100,2,2770,1,53,34.8124166091771,-87.6629288100734
01077010100-100,74803,01077010100,2,9600,1,51,34.8112958865373,-87.6623179531727
01077010100-101,1116327,01077010100,2,0,1,47,34.8100575945084,-87.661166538298
01077010100-102,206743,01077010100,2,8500,1,53,34.8093733686372,-87.6605202605905
01077010100-103,1111484,01077010100,2,8000,1,50,34.7865505929482,-87.6701970642463
01077010100-104,821036,01077010100,2,0,1,52,34.7869749945929,-87.6702811231155
01077010100-105,1364276,01077010100,2,0,1,52,34.7884275700853,-87.6702909043621
01077010100-106,61917,01077010100,2,8230,1,58,34.7894153361749,-87.6709122006133
01077010100-107,898315,01077010100,2,8500,1,55,34.7885293247905,-87.6701221993749
01077010100-108,634474,01077010100,2,5000,1,61,34.788387255956,-87.6698840221924
01077010100-109,435187,01077010100,2,8100,1,61,34.7889529142779,-87.6708102303841
01077010100-110,554404,01077010100,2,8400,1,62,34.7894331098322,-87.6727901526011
01077010100-111,203963,01077010100,2,0,1,62,34.7886504423456,-87.6731114313502
01077010100-112,1049774,01077010100,2,1410,1,61,34.7882780371584,-87.6730710509107
01077010100-113,173974,01077010100,2,7200,1,72,34.7867779837371,-87.6720160465956
01077010100-114,475481,01077010100,2,1400,1,67,34.7856819000442,-87.6710081192921
01077010100-115,1379473,01077010100,2,8500,1,68,34.7860125523971,-87.6707882177418
01077010100-116,385677,01077010100,2,3100,1,87,34.7883254832501,-87.6720558400547
01077010100-117,650469,01077010100,2,6900,1,93,34.7869000764165,-87.671756792167
01077010100-118,1105056,01077010100,6,970,1,20,34.7892975256444,-87.6720589280024
01077010100-119,1105056,01077010100,6,970,1,20,34.791460658021,-87.6728039332503
01077010100-120,284783,01077010100,6,0,1,22,34.7866798328595,-87.6730276642853
01077010100-121,1105056,01077010100,6,970,1,20,34.785342737998,-87.6722398931186
01077010100-122,284783,01077010100,6,0,1,22,34.79198356691,-87.6745510440614
01077010100-123,284783,01077010100,6,0,1,22,34.7905612275327,-87.6694175602005
01077010100-124,284783,01077010100,6,0,1,22,34.791616413723,-87.6719834423278
01077010100-125,284783,01077010100,6,0,1,22,34.790862901622,-87.6723256676836
01077010100-126,284783,01077010100,6,0,1,22,34.7918845784688,-87.6719085127071
01077010100-127,284783,01077010100,6,0,1,22,34.790294470283,-87.6733657542504
01077010100-128,689985,01077010100,6,0,1,26,34.7911624195069,-87.6725662389743
01077010100-129,689985,01077010100,6,0,1,26,34.7911384456794,-87.6721844141675
01077010100-130,689985,01077010100,6,0,1,26,34.791709025985,-87.6725047468408
01077010100-131,742505,01077010100,6,9600,1,49,34.7918656645839,-87.6726512205772
01077010100-132,464440,01077010100,1,14000,1,22,34.7951917688378,-87.6646557763018
01077010100-133,1432878,01077010100,1,14000,1,22,34.7933700918258,-87.6632296541364
01077010100-134,1056873,01077010100,1,10000,1,21,34.794734807582,-87.6638249121128
01077010100-135,1056873,01077010100,1,10000,1,21,34.7936374483845,-87.6632109134744
01077010100-136,464440,01077010100,1,14000,1,22,34.794947191359,-87.664158918148
01077010100-137,159678,01077010100,1,10000,1,17,34.7927787873776,-87.6673726925539
01077010100-138,71504,01077010100,1,12000,1,22,34.7921566459417,-87.6665571900335
01077010100-139,746700,01077010100,1,14000,1,23,34.7937516425391,-87.6675756574674
01077010100-140,159678,01077010100,1,10000,1,17,34.7935108711198,-87.6679467693742
01077010100-141,159678,01077010100,1,10000,1,17,34.7946334532778,-87.6662418734467
01077010100-142,159678,01077010100,1,10000,1,17,34.7945581567663,-87.6729834706005
01077010100-143,1189344,01077010100,1,14400,1,25,34.79215907642,-87.6730533472757
01077010100-144,538842,01077010100,1,11000,1,34,34.7912298088762,-87.6691240040675
01077010100-145,789648,01077010100,1,12000,1,31,34.7922730281337,-87.6686628718088
01077010100-146,1189344,01077010100,1,14400,1,25,34.7921824081111,-87.6686978491438
01077010100-147,1162002,01077010100,1,14000,1,64,34.7916840428454,-87.668463500446
01077010100-148,1064359,01077010100,1,10500,1,47,34.7922632008458,-87.6744724936738
01077010100-149,1064359,01077010100,1,10500,1,47,34.791643190085,-87.6720758317437
01077010100-150,1085111,01077010100,1,12500,1,53,34.7916364979831,-87.671881673336
01077010100-151,66772,01077010100,1,11400,1,48,34.7927739616461,-87.6738970850672
01077010100-152,1408315,01077010100,1,10000,1,45,34.7932513708604,-87.6726514274759
01077010100-153,1001168,01077010100,1,12100,1,57,34.7926742406341,-87.6740460344629
01077010100-154,163581,01077010100,1,10200,1,63,34.7950146936989,-87.6726471597288
01077010100-155,384290,01077010100,1,14700,1,64,34.7941442961829,-87.6721129216751
01077010100-156,959771,01077010100,1,13800,1,64,34.7940499411841,-87.6720413986369
01077010100-157,59561,01077010100,1,12000,1,60,34.7928545380285,-87.6710840025304
01077010100-158,1259509,01077010100,1,14500,1,61,34.7911883062828,-87.6698999601658
01077010100-159,524130,01077010100,1,12000,1,67,34.7915346539595,-87.6708969579214
01077010100-160,1305843,01077010100,1,14700,1,72,34.7928185001883,-87.6713072649463
01077010100-161,202865,01077010100,1,10800,1,72,34.7938077426496,-87.6704416551432
01077010100-162,1294655,01077010100,1,11700,1,72,34.7929671906075,-87.6709418112978
01077010100-163,453233,01077010100,1,14000,1,72,34.7927904088915,-87.672549440415
01077010100-164,218966,01077010100,1,11200,1,77,34.7947511721516,-87.6727381291238
01077010100-165,120815,01077010100,1,13200,1,87,34.7947785832684,-87.665897865171
01077010100-166,1162783,01077010100,1,13500,1,93,34.7955038221348,-87.6712050112851
01077010100-167,821327,01077010100,1,14000,1,93,34.7950504034982,-87.6723199454017
01077010100-168,538695,01077010100,2,13200,1,23,34.7952560121393,-87.6661846852874
01077010100-169,624872,01077010100,2,13900,1,21,34.7954669609549,-87.6655703611544
01077010100-170,1227425,01077010100,2,10800,1,24,34.7949391669182,-87.6741477002154
01077010100-171,624872,01077010100,2,13900,1,21,34.7941137769208,-87.6734515781446
01077010100-172,973335,01077010100,2,10000,1,27,34.7925998071117,-87.6729513867423
01077010100-173,287913,01077010100,2,12400,1,28,34.7942403332825,-87.6705739217362
01077010100-174,248261,01077010100,2,14400,1,30,34.7946617055081,-87.6702827214553
01077010100-175,1101557,01077010100,2,13600,1,53,34.797036035528,-87.6247901594539
01077010100-176,912807,01077010100,2,0,1,51,34.7982233533754,-87.625350522978
01077010100-177,221158,01077010100,2,10800,1,56,34.798647815623,-87.6252913637193
01077010100-178,1264179,01077010100,2,12000,1,62,34.799938395803,-87.6258570319995
01077010100-179,612586,01077010100,2,13500,1,60,34.8011499171882,-87.6257924199333
01077010100-180,437057,01077010100,2,11100,1,61,34.8016250271201,-87.6261757445681
01077010100-181,645768,01077010100,2,12000,1,67,34.8020308940884,-87.626362841447
01077010100-182,157785,01077010100,2,13500,1,68,34.802094418527,-87.626713550706
01077010100-183,110063,01077010100,2,13420,1,85,34.8041138788193,-87.6267501904132
01077010100-184,917117,01077010100,6,12000,1,25,34.8045072409633,-87.6810805914061
01077010100-185,917117,01077010100,6,12000,1,25,34.8039443967796,-87.6813079008258
01077010100-186,1348225,01077010100,6,10000,1,54,34.8042688618281,-87.6815772581797
01077010100-187,586397,01077010100,1,18200,1,22,34.8049474162725,-87.6827445663946
01077010100-188,984325,01077010100,1,18200,1,23,34.803185102005,-87.6688457296738
01077010100-189,651145,01077010100,1,18000,1,24,34.803014394591,-87.6588343012049
01077010100-190,880746,01077010100,1,20000,1,22,34.8031635910018,-87.6691275826907
01077010100-191,1215056,01077010100,1,20800,1,22,34.8032295108324,-87.6680721641363
01077010100-192,1472842,01077010100,1,16000,1,23,34.8032129459554,-87.6683651804363
01077010100-193,1313866,01077010100,1,22000,1,22,34.804688277614,-87.6634178878759
01077010100-194,930107,01077010100,1,20800,1,22,34.8048598185859,-87.6636695211951
01077010100-195,194078,01077010100,1,24000,1,22,34.8048857416277,-87.6627097883618
01077010100-196,880746,01077010100,1,20000,1,22,34.8037811487752,-87.6625426500597
01077010100-197,472895,01077010100,1,15000,1,23,34.8029974908088,-87.6780028411101
01077010100-198,5855,01077010100,1,17000,1,23,34.8048717470199,-87.6620207806298
01077010100-199,781429,01077010100,1,18000,1,24,34.8046345016473,-87.6612029063148
01077010100-200,680483,01077010100,1,15000,1,24,34.8047948361599,-87.6614426173293
01077010100-201,722471,01077010100,1,22000,1,23,34.8034895264492,-87.6607593932236
01077010100-202,171371,01077010100,1,20000,1,23,34.8032211153653,-87.6599700932646
01077010100-203,347365,01077010100,1,20000,1,32,34.8037603107048,-87.6672254912616
01077010100-204,532179,01077010100,1,21000,1,30,34.8037992032593,-87.6674854823102
01077010100-205,983134,01077010100,1,18000,1,26,34.8043908198323,-87.6661436796988
01077010100-206,494757,01077010100,1,22000,1,28,34.8043680758321,-87.6657046210249
01077010100-207,347365,01077010100,1,20000,1,32,34.8051809202028,-87.6652382461295
01077010100-208,241165,01077010100,1,20000,1,34,34.8047802798825,-87.6605380014053
01077010100-209,494757,01077010100,1,22000,1,28,34.8044159023183,-87.6592627695946
01077010100-210,505614,01077010100,1,24000,1,25,34.8042803229103,-87.6588605261582
01077010100-211,1359053,01077010100,1,15800,1,25,34.8033581123626,-87.6582540762805
01077010100-212,505614,01077010100,1,24000,1,25,34.7966131326128,-87.6473964303429
01077010100-213,1209062,01077010100,1,21500,1,32,34.7990736921478,-87.6494861335756
01077010100-214,791564,01077010100,1,18000,1,42,34.7957071572406,-87.6460571105999
01077010100-215,30734,01077010100,1,18000,1,53,34.7928488696556,-87.643932251466
01077010100-216,264148,01077010100,1,23500,1,48,34.7942087395638,-87.6446197421535
01077010100-217,1248853,01077010100,1,17700,1,49,34.7990146001447,-87.6490224156182
01077010100-218,153410,01077010100,1,18000,1,52,34.7984240927374,-87.6488841275301
01077010100-219,1125902,01077010100,1,20000,1,51,34.7933851143966,-87.6439445364609
01077010100-220,819410,01077010100,1,20000,1,49,34.7995638228733,-87.6491972440073
01077010100-221,202442,01077010100,1,20000,1,53,34.7935390289173,-87.6448179521078
01077010100-222,937850,01077010100,1,18400,1,48,34.7958302837633,-87.645892213156
01077010100-223,644765,01077010100,1,20000,1,50,34.7997387283461,-87.6495598578098
01077010100-224,569973,01077010100,1,24600,1,56,34.7965504073784,-87.6467155797452
01077010100-225,836780,01077010100,1,18400,1,58,34.7975958572925,-87.6476803964629
01077010100-226,684225,01077010100,1,19000,1,60,34.7947400524308,-87.6452614972862
01077010100-227,1155726,01077010100,1,20900,1,64,34.7979195198252,-87.6480615535753
01077010100-228,1131973,01077010100,1,17200,1,61,34.7997805975296,-87.6496240221581
01077010100-229,1034226,01077010100,1,19400,1,63,34.7971253529071,-87.6475987726893
01077010100-230,324069,01077010100,1,20300,1,61,34.7936982925006,-87.6442201024803
01077010100-231,921119,01077010100,1,20400,1,60,34.7992386000299,-87.6490233591165
01077010100-232,881365,01077010100,1,22900,1,72,34.799357099338,-87.64930363924
01077010100-233,944158,01077010100,1,15000,1,73,34.7977581846739,-87.6479095494607
01077010100-234,679058,01077010100,1,22000,1,70,34.7963281576138,-87.6649063644228
01077010100-235,101101,01077010100,1,22400,1,69,34.7961234159762,-87.6639360599947
01077010100-236,1050767,01077010100,1,17100,1,66,34.7973227823482,-87.6624667723487
01077010100-237,445089,01077010100,1,24600,1,66,34.7972730902047,-87.6617959459396
01077010100-238,562636,01077010100,1,19600,1,73,34.7966939122304,-87.6632404423889
01077010100-239,1116243,01077010100,1,18960,1,66,34.7975707466255,-87.6609891999608
01077010100-240,981790,01077010100,1,16100,1,72,34.7977442942829,-87.6611239537172
01077010100-241,1047868,01077010100,1,16100,1,76,34.798123607444,-87.6599840968689
01077010100-242,1146017,01077010100,1,17810,1,88,34.7983825991411,-87.6600746069676
01077010100-243,356786,01077010100,1,21700,1,93,34.7984966366827,-87.659016503581
01077010100-244,152564,01077010100,1,15000,1,93,34.7989236288829,-87.6583898015082
01077010100-245,564842,01077010100,1,21900,1,93,34.7989791989673,-87.6569727047011
01077010100-246,231939,01077010100,1,22400,1,93,34.7972496080682,-87.6633478520194
01077010100-247,1389976,01077010100,2,20000,1,22,34.7969032678872,-87.6634750920748
01077010100-248,17834,01077010100,2,18000,1,24,34.797573127161,-87.6626494128657
01077010100-249,1099379,01077010100,2,19500,1,24,34.7984983069199,-87.661515728954
01077010100-250,466173,01077010100,2,24000,1,23,34.7985958253792,-87.6602667856794
01077010100-251,931676,01077010100,2,18900,1,26,34.7987076344936,-87.6601685022626
01077010100-252,371278,01077010100,2,19800,1,32,34.799069605888,-87.6597030010714
01077010100-253,621850,01077010100,2,23000,1,27,34.7997293825708,-87.6586500563159
01077010100-254,879647,01077010100,2,18200,1,33,34.7992924015076,-87.6580392362921
01077010100-255,714552,01077010100,2,15000,1,30,34.7965485327939,-87.6740022233861
01077010100-256,867120,01077010100,2,18200,1,45,34.7995827427069,-87.6769691709781
01077010100-257,1165538,01077010100,2,18000,1,48,34.799254944608,-87.6767103707103
01077010100-258,1008594,01077010100,2,17520,1,49,34.798375215291,-87.676421677308
01077010100-259,1116732,01077010100,2,22000,1,46,34.797857019603,-87.6759046316267
01077010100-260,1353414,01077010100,2,23000,1,54,34.7969653034455,-87.6761375821134
01077010100-261,766282,01077010100,2,22100,1,59,34.7971443470948,-87.6753438850192
01077010100-262,1184943,01077010100,2,16300,1,64,34.796095653223,-87.6749279065758
01077010100-263,364555,01077010100,2,15800,1,62,34.7961459151895,-87.6747473840652
01077010100-264,350537,01077010100,2,22000,1,64,34.7961909108875,-87.6740136420601
01077010100-265,337694,01077010100,2,15300,1,66,34.795987231109,-87.6733342988131
01077010100-266,1072609,01077010100,2,24000,1,67,34.7979694223177,-87.6682634496313
01077010100-267,963865,01077010100,2,18300,1,93,34.7968257600237,-87.6749809382506
01077010100-268,445482,01077010100,6,24300,1,30,34.7970649147704,-87.6749105263927
01077010100-269,445482,01077010100,6,24300,1,30,34.8004704400164,-87.6742349382096
01077010100-270,445482,01077010100,6,24300,1,30,34.7990641034251,-87.6736679101329
01077010100-271,1442459,01077010100,6,24000,1,51,34.7979800174899,-87.6727585596994
01077010100-272,1417988,01077010100,1,30000,1,23,34.7977691423623,-87.6730123907572
01077010100-273,14259,01077010100,1,26000,1,24,34.7969272292644,-87.6718640747564
01077010100-274,611593,01077010100,1,25000,1,19,34.7979170812328,-87.6749742238043
01077010100-275,714065,01077010100,1,32000,1,31,34.798072908135,-87.6754201852512
01077010100-276,240022,01077010100,1,30000,1,26,34.7989143323517,-87.6671185156465
01077010100-277,639675,01077010100,1,30000,1,33,34.7958502369611,-87.6726127791809
01077010100-278,1303957,01077010100,1,25000,1,26,34.7958488364738,-87.6718337146592
01077010100-279,457876,01077010100,1,33500,1,32,34.7964815132095,-87.6711271907636
01077010100-280,381997,01077010100,1,30000,1,32,34.7966834242232,-87.670890306979
01077010100-281,432096,01077010100,1,30000,1,43,34.7971618211104,-87.6698314852745
01077010100-282,593519,01077010100,1,32000,1,49,34.7975491331865,-87.6683051769614
01077010100-283,1448739,01077010100,1,26000,1,49,34.7981576116974,-87.668035670462
01077010100-284,1037734,01077010100,1,30050,1,51,34.7982833747903,-87.6670986161974
01077010100-285,1441459,01077010100,1,26800,1,62,34.7968774595381,-87.6658291008221
01077010100-286,702803,01077010100,1,29300,1,60,34.7976565654586,-87.6658937794396
01077010100-287,1108066,01077010100,1,28000,1,72,34.797282283564,-87.6655824715901
01077010100-288,1190288,01077010100,1,36300,1,74,34.7961485067077,-87.6650747477123
01077010100-289,1241304,01077010100,1,25800,1,87,34.7987618811257,-87.6663469315446
01077010100-290,905780,01077010100,2,30000,1,24,34.7990199303036,-87.6655642246159
01077010100-291,1331959,01077010100,2,28000,1,29,34.799441749007,-87.6653154960073
01077010100-292,746431,01077010100,2,26800,1,33,34.7996469888715,-87.6643279646267
01077010100-293,336028,01077010100,2,28000,1,46,34.7996557283719,-87.6636916563186
01077010100-294,597540,01077010100,6,32060,1,31,34.7998839764989,-87.6621021462703
01077010100-295,1181038,01077010100,1,42000,1,24,34.8004913084992,-87.661221654939
01077010100-296,1088325,01077010100,1,47000,1,32,34.8013446474633,-87.6598599279872
01077010100-297,1150818,01077010100,1,45030,1,26,34.7991444845118,-87.6759949741627
01077010100-298,1429986,01077010100,1,40000,1,50,34.7987220275424,-87.6767768282979
01077010100-299,771170,01077010100,1,44000,1,61,34.8004127236683,-87.672340639734
01077010100-300,610489,01077010100,1,42000,1,70,34.7994804969482,-87.6721683470395
01077010100-301,573167,01077010100,2,45000,1,29,34.7985941331639,-87.6716581353936
01077010100-302,1315450,01077010100,1,55000,1,24,34.7980129613584,-87.6713718278592
01077010100-303,1315450,01077010100,1,55000,1,24,34.7975933679341,-87.6707329685515
01077010100-304,175113,01077010100,1,50000,1,31,34.7954138163187,-87.6742418290788
01077010100-305,1171816,01077010100,1,50000,1,28,34.7957998193949,-87.6737451672665
01077010100-306,1439351,01077010100,1,91000,1,31,34.7959681145962,-87.6747645443817
01077010100-307,220568,01077010100,1,56000,1,25,34.7958976582937,-87.6662886269898
01077010100-308,1143170,01077010100,1,72000,1,29,34.7963533290644,-87.666842449525
01077010100-309,1424693,01077010100,1,80000,1,29,34.7953897784136,-87.6663085344131
01077010100-310,132769,01077010100,1,60000,1,29,34.7953991767066,-87.6664740559933
01077010100-311,1301113,01077010100,1,75000,1,33,34.79580354525,-87.6714227905398
01077010100-312,1275274,01077010100,1,55000,1,36,34.7966496391566,-87.6704681899418
01077010100-313,678839,01077010100,1,54000,1,48,34.7961609951356,-87.6700028586961
01077010100-314,686737,01077010100,1,80000,1,54,34.7967051719927,-87.6702418023786
01077010100-315,1387212,01077010100,1,53000,1,47,34.7997719609201,-87.6767270182161
01077010100-316,130828,01077010100,1,55000,1,45,34.7997418871128,-87.6757201453055
01077010100-317,1490740,01077010100,1,62000,1,45,34.7992823107759,-87.6754832132658
01077010100-318,730738,01077010100,1,70000,1,56,34.7985173364742,-87.6748431889697
01077010100-319,190143,01077010100,1,60000,1,61,34.7983849871233,-87.6747238009329
01077010100-320,970899,01077010100,1,85000,1,63,34.7978688261948,-87.6745121050609
01077010100-321,314753,01077010100,1,52400,1,61,34.7999496166635,-87.6734405486454
01077010100-322,964772,01077010100,1,92800,1,67,34.7992024385438,-87.6729260740816
01077010100-323,293536,01077010100,1,63000,1,71,34.7977179998774,-87.6717879965033
01077010100-324,1227321,01077010100,1,76800,1,85,34.7995212549818,-87.6613139965757
01077010100-325,628336,01077010100,2,70000,1,25,34.7990862492698,-87.6602908343975
01077010100-326,242267,01077010100,2,50000,1,52,34.7984489036275,-87.6603583814602
01077010100-327,1281990,01077010100,2,50000,1,64,34.7995563888772,-87.6688966062848
01077010100-328,782047,01077010100,6,65000,1,29,34.7981022698644,-87.6634310853029
01077010100-329,1071413,01077010100,6,65000,1,26,34.798000759906,-87.6635136186662
01077010100-330,782047,01077010100,6,65000,1,29,34.7974797612065,-87.6637616206699
01077010100-331,1368283,01077010100,6,171000,1,34,34.7985556528444,-87.6618127770019
01077010100-332,397754,01077010100,1,600,2,19,34.7986795174931,-87.6611968843685
01077010100-333,707712,01077010100,1,2000,2,20,34.7994165853823,-87.6598638360295
01077010100-334,1485481,01077010100,1,7000,2,20,34.7996507735084,-87.6601792098203
01077010100-335,1271790,01077010100,1,0,2,21,34.7998235483763,-87.6584311790834
01077010100-336,554393,01077010100,1,0,2,21,34.7996931220496,-87.6594611767353
01077010100-337,1437307,01077010100,1,5700,2,20,34.8004771951796,-87.6570613876412
01077010100-338,1003990,01077010100,1,390,2,19,34.8002899804931,-87.6574128031125
01077010100-339,1437307,01077010100,1,5700,2,20,34.8007915782227,-87.6563557594761
01077010100-340,891653,01077010100,1,24500,2,21,34.8010756170405,-87.6631281247186
01077010100-341,620237,01077010100,1,2200,2,23,34.7989235423611,-87.6627260499563
