sp_id,sp_hh_id,serialno,stcotrbg,age,sex,race,sporder,relate,sp_school_id,sp_work_id
01077010100-58-58,01077010100-58,916497,01077010100,61,1,1,1,0,,
01077010100-59-59,01077010100-59,545722,01077010100,61,1,1,1,0,,
01077010100-60-60,01077010100-60,805438,01077010100,60,2,1,1,0,,967946393
01077010100-61-61,01077010100-61,850761,01077010100,63,1,1,1,0,,664186749
01077010100-62-62,01077010100-62,1270664,01077010100,64,2,1,1,0,,
01077010100-63-63,01077010100-63,137172,01077010100,64,2,1,1,0,,
01077010100-64-64,01077010100-64,716937,01077010100,69,2,1,1,0,,
01077010100-65-65,01077010100-65,1045260,01077010100,67,1,1,1,0,,
01077010100-66-66,01077010100-66,503650,01077010100,67,2,1,1,0,,
01077010100-67-67,01077010100-67,235644,01077010100,68,2,1,1,0,,
01077010100-68-68,01077010100-68,541473,01077010100,65,2,1,1,0,,
01077010100-69-69,01077010100-69,62373,01077010100,70,2,1,1,0,,
01077010100-70-70,01077010100-70,652043,01077010100,82,1,1,1,0,,
01077010100-71-71,01077010100-71,944,01077010100,88,2,1,1,0,,
01077010100-72-72,01077010100-72,271770,01077010100,86,2,1,1,0,,133751859
01077010100-73-73,01077010100-73,374090,01077010100,87,2,1,1,0,,
01077010100-74-74,01077010100-74,62692,01077010100,22,2,2,1,0,,
01077010100-75-75,01077010100-75,1404018,01077010100,22,1,2,1,0,,
01077010100-76-76,01077010100-76,1274338,01077010100,51,2,2,1,0,,
01077010100-77-77,01077010100-77,858565,01077010100,24,1,2,1,0,,
01077010100-78-78,01077010100-78,141485,01077010100,23,2,2,1,0,,
01077010100-79-79,01077010100-79,1404018,01077010100,22,1,2,1,0,,
01077010100-80-80,01077010100-80,333400,01077010100,23,1,2,1,0,,
01077010100-81-81,01077010100-81,494896,01077010100,21,2,2,1,0,,
01077010100-82-82,01077010100-82,1039194,01077010100,22,1,2,1,0,,
01077010100-83-83,01077010100-83,494896,01077010100,21,2,2,1,0,,
01077010100-84-84,01077010100-84,1013789,01077010100,24,2,2,1,0,,599402062
01077010100-85-85,01077010100-85,858565,01077010100,24,1,2,1,0,,
01077010100-86-86,01077010100-86,1378057,01077010100,20,2,2,1,0,,
01077010100-87-87,01077010100-87,928022,01077010100,24,1,2,1,0,,378027908
01077010100-88-88,01077010100-88,1197989,01077010100,21,2,2,1,0,,6174676
01077010100-89-89,01077010100-89,867190,01077010100,25,1,2,1,0,,133745265
01077010100-90-90,01077010100-90,646897,01077010100,34,1,2,1,0,,
01077010100-91-91,01077010100-91,1391899,01077010100,32,2,2,1,0,,
01077010100-92-92,01077010100-92,1392659,01077010100,34,1,2,1,0,,
01077010100-93-93,01077010100-93,1292520,01077010100,32,1,2,1,0,,
01077010100-94-94,01077010100-94,940222,01077010100,26,1,2,1,0,,
01077010100-95-95,01077010100-95,646897,01077010100,34,1,2,1,0,,
01077010100-96-96,01077010100-96,1292520,01077010100,32,1,2,1,0,,
01077010100-97-97,01077010100-97,1076033,01077010100,29,1,2,1,0,,
01077010100-98-98,01077010100-98,643535,01077010100,42,1,2,1,0,,133754762
01077010100-99-99,01077010100-99,856745,01077010100,53,2,2,1,0,,
01077010100-100-100,01077010100-100,74803,01077010100,51,2,2,1,0,,
01077010100-101-101,01077010100-101,1116327,01077010100,47,2,2,1,0,,
01077010100-102-102,01077010100-102,206743,01077010100,53,2,2,1,0,,
01077010100-103-103,01077010100-103,1111484,01077010100,50,2,2,1,0,,
01077010100-104-104,01077010100-104,821036,01077010100,52,1,2,1,0,,
01077010100-105-105,01077010100-105,1364276,01077010100,52,2,2,1,0,,
01077010100-106-106,01077010100-106,61917,01077010100,58,2,2,1,0,,
01077010100-107-107,01077010100-107,898315,01077010100,55,2,2,1,0,,
01077010100-108-108,01077010100-108,634474,01077010100,61,1,2,1,0,,
01077010100-109-109,01077010100-109,435187,01077010100,61,1,2,1,0,,
01077010100-110-110,01077010100-110,554404,01077010100,62,2,2,1,0,,
01077010100-111-111,01077010100-111,203963,01077010100,62,2,2,1,0,,
01077010100-112-112,01077010100-112,1049774,01077010100,61,1,2,1,0,,
01077010100-113-113,01077010100-113,173974,01077010100,72,1,2,1,0,,
01077010100-114-114,01077010100-114,475481,01077010100,67,2,2,1,0,,
01077010100-115-115,01077010100-115,1379473,01077010100,68,1,2,1,0,,
01077010100-116-116,01077010100-116,385677,01077010100,87,2,2,1,0,,
01077010100-117-117,01077010100-117,650469,01077010100,93,2,2,1,0,,
01077010100-118-118,01077010100-118,1105056,01077010100,20,1,6,1,0,,420243149
01077010100-119-119,01077010100-119,1105056,01077010100,20,1,6,1,0,,927922682
01077010100-120-120,01077010100-120,284783,01077010100,22,1,6,1,0,,
01077010100-121-121,01077010100-121,1105056,01077010100,20,1,6,1,0,,803507698
01077010100-122-122,01077010100-122,284783,01077010100,22,1,6,1,0,,
01077010100-123-123,01077010100-123,284783,01077010100,22,1,6,1,0,,
01077010100-124-124,01077010100-124,284783,01077010100,22,1,6,1,0,,
01077010100-125-125,01077010100-125,284783,01077010100,22,1,6,1,0,,
01077010100-126-126,01077010100-126,284783,01077010100,22,1,6,1,0,,
01077010100-127-127,01077010100-127,284783,01077010100,22,1,6,1,0,,
01077010100-128-128,01077010100-128,689985,01077010100,26,2,6,1,0,,
01077010100-129-129,01077010100-129,689985,01077010100,26,2,6,1,0,,
01077010100-130-130,01077010100-130,689985,01077010100,26,2,6,1,0,,
01077010100-131-131,01077010100-131,742505,01077010100,49,1,6,1,0,,133752329
01077010100-132-132,01077010100-132,464440,01077010100,22,2,1,1,0,,927924506
01077010100-133-133,01077010100-133,1432878,01077010100,22,1,1,1,0,,967947441
01077010100-134-134,01077010100-134,1056873,01077010100,21,2,1,1,0,,133748020
01077010100-135-135,01077010100-135,1056873,01077010100,21,2,1,1,0,,511864258
01077010100-136-136,01077010100-136,464440,01077010100,22,2,1,1,0,,250695160
01077010100-137-137,01077010100-137,159678,01077010100,17,2,1,1,0,,599402716
01077010100-138-138,01077010100-138,71504,01077010100,22,1,1,1,0,,599394434
01077010100-139-139,01077010100-139,746700,01077010100,23,2,1,1,0,,420244790
01077010100-140-140,01077010100-140,159678,01077010100,17,2,1,1,0,,420244303
01077010100-141-141,01077010100-141,159678,01077010100,17,2,1,1,0,,534845649
01077010100-142-142,01077010100-142,159678,01077010100,17,2,1,1,0,,666988704
01077010100-143-143,01077010100-143,1189344,01077010100,25,2,1,1,0,,456272004
01077010100-144-144,01077010100-144,538842,01077010100,34,2,1,1,0,,
01077010100-145-145,01077010100-145,789648,01077010100,31,1,1,1,0,,420243230
01077010100-146-146,01077010100-146,1189344,01077010100,25,2,1,1,0,,378028435
01077010100-147-147,01077010100-147,1162002,01077010100,64,1,1,1,0,,
01077010100-148-148,01077010100-148,1064359,01077010100,47,1,1,1,0,,
01077010100-149-149,01077010100-149,1064359,01077010100,47,1,1,1,0,,
01077010100-150-150,01077010100-150,1085111,01077010100,53,1,1,1,0,,
01077010100-151-151,01077010100-151,66772,01077010100,48,2,1,1,0,,
01077010100-152-152,01077010100-152,1408315,01077010100,45,2,1,1,0,,250695160
01077010100-153-153,01077010100-153,1001168,01077010100,57,1,1,1,0,,
01077010100-154-154,01077010100-154,163581,01077010100,63,1,1,1,0,,
01077010100-155-155,01077010100-155,384290,01077010100,64,2,1,1,0,,
01077010100-156-156,01077010100-156,959771,01077010100,64,2,1,1,0,,
01077010100-157-157,01077010100-157,59561,01077010100,60,1,1,1,0,,803488592
01077010100-158-158,01077010100-158,1259509,01077010100,61,2,1,1,0,,
01077010100-159-159,01077010100-159,524130,01077010100,67,1,1,1,0,,
01077010100-160-160,01077010100-160,1305843,01077010100,72,2,1,1,0,,
01077010100-161-161,01077010100-161,202865,01077010100,72,2,1,1,0,,
01077010100-162-162,01077010100-162,1294655,01077010100,72,1,1,1,0,,
01077010100-163-163,01077010100-163,453233,01077010100,72,2,1,1,0,,
01077010100-164-164,01077010100-164,218966,01077010100,77,2,1,1,0,,
01077010100-165-165,01077010100-165,120815,01077010100,87,2,1,1,0,,
01077010100-166-166,01077010100-166,1162783,01077010100,93,2,1,1,0,,
01077010100-167-167,01077010100-167,821327,01077010100,93,2,1,1,0,,
01077010100-168-168,01077010100-168,538695,01077010100,23,1,2,1,0,,688956457
01077010100-169-169,01077010100-169,624872,01077010100,21,1,2,1,0,,250693728
01077010100-170-170,01077010100-170,1227425,01077010100,24,1,2,1,0,,133755777
01077010100-171-171,01077010100-171,624872,01077010100,21,1,2,1,0,,892473034
01077010100-172-172,01077010100-172,973335,01077010100,27,1,2,1,0,,
01077010100-173-173,01077010100-173,287913,01077010100,28,2,2,1,0,,
01077010100-174-174,01077010100-174,248261,01077010100,30,2,2,1,0,,661585117
01077010100-175-175,01077010100-175,1101557,01077010100,53,2,2,1,0,,303756407
01077010100-176-176,01077010100-176,912807,01077010100,51,1,2,1,0,,
01077010100-177-177,01077010100-177,221158,01077010100,56,2,2,1,0,,
01077010100-178-178,01077010100-178,1264179,01077010100,62,2,2,1,0,,
01077010100-179-179,01077010100-179,612586,01077010100,60,2,2,1,0,,
01077010100-180-180,01077010100-180,437057,01077010100,61,2,2,1,0,,
01077010100-181-181,01077010100-181,645768,01077010100,67,2,2,1,0,,
01077010100-182-182,01077010100-182,157785,01077010100,68,2,2,1,0,,456272939
01077010100-183-183,01077010100-183,110063,01077010100,85,2,2,1,0,,
01077010100-184-184,01077010100-184,917117,01077010100,25,2,6,1,0,,133760181
01077010100-185-185,01077010100-185,917117,01077010100,25,2,6,1,0,,803511252
01077010100-186-186,01077010100-186,1348225,01077010100,54,1,6,1,0,,316428606
01077010100-187-187,01077010100-187,586397,01077010100,22,1,1,1,0,,545024309
01077010100-188-188,01077010100-188,984325,01077010100,23,1,1,1,0,,133750828
01077010100-189-189,01077010100-189,651145,01077010100,24,2,1,1,0,,997143318
01077010100-190-190,01077010100-190,880746,01077010100,22,2,1,1,0,,
01077010100-191-191,01077010100-191,1215056,01077010100,22,2,1,1,0,,599400173
01077010100-192-192,01077010100-192,1472842,01077010100,23,1,1,1,0,,
01077010100-193-193,01077010100-193,1313866,01077010100,22,1,1,1,0,,967946195
01077010100-194-194,01077010100-194,930107,01077010100,22,1,1,1,0,,997143318
01077010100-195-195,01077010100-195,194078,01077010100,22,1,1,1,0,,513757518
01077010100-196-196,01077010100-196,880746,01077010100,22,2,1,1,0,,
01077010100-197-197,01077010100-197,472895,01077010100,23,2,1,1,0,,
01077010100-198-198,01077010100-198,5855,01077010100,23,1,1,1,0,,133748269
01077010100-199-199,01077010100-199,781429,01077010100,24,2,1,1,0,,133761122
01077010100-200-200,01077010100-200,680483,01077010100,24,1,1,1,0,,399317429
01077010100-201-201,01077010100-201,722471,01077010100,23,1,1,1,0,,
01077010100-202-202,01077010100-202,171371,01077010100,23,1,1,1,0,,309198828
01077010100-203-203,01077010100-203,347365,01077010100,32,1,1,1,0,,631830585
01077010100-204-204,01077010100-204,532179,01077010100,30,1,1,1,0,,5440276
01077010100-205-205,01077010100-205,983134,01077010100,26,1,1,1,0,,226523421
01077010100-206-206,01077010100-206,494757,01077010100,28,2,1,1,0,,886694330
01077010100-207-207,01077010100-207,347365,01077010100,32,1,1,1,0,,967947953
01077010100-208-208,01077010100-208,241165,01077010100,34,2,1,1,0,,364729962
01077010100-209-209,01077010100-209,494757,01077010100,28,2,1,1,0,,997143318
01077010100-210-210,01077010100-210,505614,01077010100,25,2,1,1,0,,372019372
01077010100-211-211,01077010100-211,1359053,01077010100,25,2,1,1,0,,632207155
01077010100-212-212,01077010100-212,505614,01077010100,25,2,1,1,0,,803520097
01077010100-213-213,01077010100-213,1209062,01077010100,32,2,1,1,0,,396240194
01077010100-214-214,01077010100-214,791564,01077010100,42,2,1,1,0,,420244790
01077010100-215-215,01077010100-215,30734,01077010100,53,1,1,1,0,,133753822
01077010100-216-216,01077010100-216,264148,01077010100,48,1,1,1,0,,
01077010100-217-217,01077010100-217,1248853,01077010100,49,2,1,1,0,,133749218
01077010100-218-218,01077010100-218,153410,01077010100,52,1,1,1,0,,
01077010100-219-219,01077010100-219,1125902,01077010100,51,2,1,1,0,,803522044
01077010100-220-220,01077010100-220,819410,01077010100,49,1,1,1,0,,803518570
01077010100-221-221,01077010100-221,202442,01077010100,53,1,1,1,0,,635631
01077010100-222-222,01077010100-222,937850,01077010100,48,2,1,1,0,,316428606
01077010100-223-223,01077010100-223,644765,01077010100,50,2,1,1,0,,133751412
01077010100-224-224,01077010100-224,569973,01077010100,56,1,1,1,0,,
01077010100-225-225,01077010100-225,836780,01077010100,58,1,1,1,0,,
01077010100-226-226,01077010100-226,684225,01077010100,60,1,1,1,0,,
01077010100-227-227,01077010100-227,1155726,01077010100,64,2,1,1,0,,
01077010100-228-228,01077010100-228,1131973,01077010100,61,2,1,1,0,,675096754
01077010100-229-229,01077010100-229,1034226,01077010100,63,2,1,1,0,,
01077010100-230-230,01077010100-230,324069,01077010100,61,2,1,1,0,,
01077010100-231-231,01077010100-231,921119,01077010100,60,1,1,1,0,,
01077010100-232-232,01077010100-232,881365,01077010100,72,2,1,1,0,,
01077010100-233-233,01077010100-233,944158,01077010100,73,2,1,1,0,,
01077010100-234-234,01077010100-234,679058,01077010100,70,1,1,1,0,,
01077010100-235-235,01077010100-235,101101,01077010100,69,2,1,1,0,,
01077010100-236-236,01077010100-236,1050767,01077010100,66,2,1,1,0,,
01077010100-237-237,01077010100-237,445089,01077010100,66,1,1,1,0,,
01077010100-238-238,01077010100-238,562636,01077010100,73,1,1,1,0,,
01077010100-239-239,01077010100-239,1116243,01077010100,66,1,1,1,0,,
01077010100-240-240,01077010100-240,981790,01077010100,72,2,1,1,0,,
01077010100-241-241,01077010100-241,1047868,01077010100,76,2,1,1,0,,
01077010100-242-242,01077010100-242,1146017,01077010100,88,2,1,1,0,,
01077010100-243-243,01077010100-243,356786,01077010100,93,1,1,1,0,,
01077010100-244-244,01077010100-244,152564,01077010100,93,1,1,1,0,,
01077010100-245-245,01077010100-245,564842,01077010100,93,2,1,1,0,,
01077010100-246-246,01077010100-246,231939,01077010100,93,2,1,1,0,,
01077010100-247-247,01077010100-247,1389976,01077010100,22,2,2,1,0,,204617500
01077010100-248-248,01077010100-248,17834,01077010100,24,1,2,1,0,,886694330
01077010100-249-249,01077010100-249,1099379,01077010100,24,2,2,1,0,,574675104
01077010100-250-250,01077010100-250,466173,01077010100,23,2,2,1,0,,574676110
01077010100-251-251,01077010100-251,931676,01077010100,26,1,2,1,0,,
01077010100-252-252,01077010100-252,371278,01077010100,32,2,2,1,0,,420248007
01077010100-253-253,01077010100-253,621850,01077010100,27,1,2,1,0,,208974717
01077010100-254-254,01077010100-254,879647,01077010100,33,1,2,1,0,,401889290
01077010100-255-255,01077010100-255,714552,01077010100,30,1,2,1,0,,495961179
01077010100-256-256,01077010100-256,867120,01077010100,45,1,2,1,0,,803500891
01077010100-257-257,01077010100-257,1165538,01077010100,48,1,2,1,0,,495971152
01077010100-258-258,01077010100-258,1008594,01077010100,49,1,2,1,0,010201000767,
01077010100-259-259,01077010100-259,1116732,01077010100,46,2,2,1,0,,688956366
01077010100-260-260,01077010100-260,1353414,01077010100,54,1,2,1,0,,133752329
01077010100-261-261,01077010100-261,766282,01077010100,59,2,2,1,0,,666842166
01077010100-262-262,01077010100-262,1184943,01077010100,64,1,2,1,0,,
01077010100-263-263,01077010100-263,364555,01077010100,62,1,2,1,0,,
01077010100-264-264,01077010100-264,350537,01077010100,64,2,2,1,0,,
01077010100-265-265,01077010100-265,337694,01077010100,66,2,2,1,0,,
01077010100-266-266,01077010100-266,1072609,01077010100,67,1,2,1,0,,
01077010100-267-267,01077010100-267,963865,01077010100,93,1,2,1,0,,
01077010100-268-268,01077010100-268,445482,01077010100,30,1,6,1,0,,987560364
01077010100-269-269,01077010100-269,445482,01077010100,30,1,6,1,0,,401889282
01077010100-270-270,01077010100-270,445482,01077010100,30,1,6,1,0,,666691811
01077010100-271-271,01077010100-271,1442459,01077010100,51,2,6,1,0,,
01077010100-272-272,01077010100-272,1417988,01077010100,23,1,1,1,0,,495960015
01077010100-273-273,01077010100-273,14259,01077010100,24,2,1,1,0,,378027585
01077010100-274-274,01077010100-274,611593,01077010100,19,1,1,1,0,,545026379
01077010100-275-275,01077010100-275,714065,01077010100,31,1,1,1,0,,133757203
01077010100-276-276,01077010100-276,240022,01077010100,26,2,1,1,0,,608364543
01077010100-277-277,01077010100-277,639675,01077010100,33,1,1,1,0,,495962847
01077010100-278-278,01077010100-278,1303957,01077010100,26,1,1,1,0,,400211985
01077010100-279-279,01077010100-279,457876,01077010100,32,2,1,1,0,,4411765
01077010100-280-280,01077010100-280,381997,01077010100,32,2,1,1,0,,456273036
01077010100-281-281,01077010100-281,432096,01077010100,43,1,1,1,0,,401889050
01077010100-282-282,01077010100-282,593519,01077010100,49,1,1,1,0,,232537381
01077010100-283-283,01077010100-283,1448739,01077010100,49,1,1,1,0,,803517028
01077010100-284-284,01077010100-284,1037734,01077010100,51,2,1,1,0,,635631
01077010100-285-285,01077010100-285,1441459,01077010100,62,2,1,1,0,,
01077010100-286-286,01077010100-286,702803,01077010100,60,1,1,1,0,,316428614
01077010100-287-287,01077010100-287,1108066,01077010100,72,1,1,1,0,,
01077010100-288-288,01077010100-288,1190288,01077010100,74,2,1,1,0,,
01077010100-289-289,01077010100-289,1241304,01077010100,87,2,1,1,0,,
01077010100-290-290,01077010100-290,905780,01077010100,24,1,2,1,0,,401888920
01077010100-291-291,01077010100-291,1331959,01077010100,29,2,2,1,0,,987557949
01077010100-292-292,01077010100-292,746431,01077010100,33,1,2,1,0,,
01077010100-293-293,01077010100-293,336028,01077010100,46,1,2,1,0,,544997844
01077010100-294-294,01077010100-294,597540,01077010100,31,2,6,1,0,,607146461
01077010100-295-295,01077010100-295,1181038,01077010100,24,1,1,1,0,,251529574
01077010100-296-296,01077010100-296,1088325,01077010100,32,1,1,1,0,,997143318
01077010100-297-297,01077010100-297,1150818,01077010100,26,1,1,1,0,,368393898
01077010100-298-298,01077010100-298,1429986,01077010100,50,1,1,1,0,,608365193
01077010100-299-299,01077010100-299,771170,01077010100,61,2,1,1,0,,
01077010100-300-300,01077010100-300,610489,01077010100,70,1,1,1,0,,
01077010100-301-301,01077010100-301,573167,01077010100,29,1,2,1,0,,927924431
01077010100-302-302,01077010100-302,1315450,01077010100,24,1,1,1,0,,390426971
01077010100-303-303,01077010100-303,1315450,01077010100,24,1,1,1,0,,711965574
01077010100-304-304,01077010100-304,175113,01077010100,31,1,1,1,0,,802690420
01077010100-305-305,01077010100-305,1171816,01077010100,28,1,1,1,0,,5440276
01077010100-306-306,01077010100-306,1439351,01077010100,31,1,1,1,0,,420244808
01077010100-307-307,01077010100-307,220568,01077010100,25,1,1,1,0,,666988704
01077010100-308-308,01077010100-308,1143170,01077010100,29,1,1,1,0,,200030872
01077010100-309-309,01077010100-309,1424693,01077010100,29,2,1,1,0,,312803877
01077010100-310-310,01077010100-310,132769,01077010100,29,1,1,1,0,,5440276
01077010100-311-311,01077010100-311,1301113,01077010100,33,1,1,1,0,,599396439
01077010100-312-312,01077010100-312,1275274,01077010100,36,1,1,1,0,,313273195
01077010100-313-313,01077010100-313,678839,01077010100,48,1,1,1,0,,574680005
01077010100-314-314,01077010100-314,686737,01077010100,54,1,1,1,0,,367420478
01077010100-315-315,01077010100-315,1387212,01077010100,47,2,1,1,0,,987560745
01077010100-316-316,01077010100-316,130828,01077010100,45,1,1,1,0,,803522689
01077010100-317-317,01077010100-317,1490740,01077010100,45,1,1,1,0,,574675104
01077010100-318-318,01077010100-318,730738,01077010100,56,1,1,1,0,,310871199
01077010100-319-319,01077010100-319,190143,01077010100,61,1,1,1,0,,495961427
01077010100-320-320,01077010100-320,970899,01077010100,63,2,1,1,0,,475159166
01077010100-321-321,01077010100-321,314753,01077010100,61,2,1,1,0,,5440276
01077010100-322-322,01077010100-322,964772,01077010100,67,2,1,1,0,,378027908
01077010100-323-323,01077010100-323,293536,01077010100,71,2,1,1,0,,359110178
01077010100-324-324,01077010100-324,1227321,01077010100,85,1,1,1,0,,
01077010100-325-325,01077010100-325,628336,01077010100,25,1,2,1,0,,644087678
01077010100-326-326,01077010100-326,242267,01077010100,52,2,2,1,0,,260206263
01077010100-327-327,01077010100-327,1281990,01077010100,64,1,2,1,0,,688956366
01077010100-328-328,01077010100-328,782047,01077010100,29,1,6,1,0,,247688831
01077010100-329-329,01077010100-329,1071413,01077010100,26,1,6,1,0,,401889340
01077010100-330-330,01077010100-330,782047,01077010100,29,1,6,1,0,,133757468
01077010100-331-331,01077010100-331,1368283,01077010100,34,1,6,1,0,,133753772
01077010100-332-332,01077010100-332,397754,01077010100,19,2,1,1,0,,
01077010100-332-333,01077010100-332,397754,01077010100,21,1,1,2,13,,
01077010100-333-334,01077010100-333,707712,01077010100,20,1,1,1,0,,
01077010100-333-335,01077010100-333,707712,01077010100,20,1,1,2,12,,
01077010100-334-336,01077010100-334,1485481,01077010100,20,2,1,1,0,,
01077010100-334-337,01077010100-334,1485481,01077010100,19,2,1,2,12,,
01077010100-335-338,01077010100-335,1271790,01077010100,21,1,1,1,0,,
01077010100-335-339,01077010100-335,1271790,01077010100,19,1,1,2,12,,
01077010100-336-340,01077010100-336,554393,01077010100,21,1,1,1,0,,
01077010100-336-341,01077010100-336,554393,01077010100,21,2,1,2,1,,
01077010100-337-342,01077010100-337,1437307,01077010100,20,1,1,1,0,,133758631
01077010100-337-343,01077010100-337,1437307,01077010100,20,1,1,2,5,,133747519
01077010100-338-344,01077010100-338,1003990,01077010100,19,2,1,1,0,,133750448
01077010100-338-345,01077010100-338,1003990,01077010100,41,1,1,2,1,,
01077010100-339-346,01077010100-339,1437307,01077010100,20,1,1,1,0,,803522689
01077010100-339-347,01077010100-339,1437307,01077010100,20,1,1,2,5,,803488345
01077010100-340-348,01077010100-340,891653,01077010100,21,2,1,1,0,,629673088
01077010100-340-349,01077010100-340,891653,01077010100,22,2,1,2,12,,456273036
01077010100-341-350,01077010100-341,620237,01077010100,23,2,1,1,0,,
01077010100-341-351,01077010100-341,620237,01077010100,1,1,1,2,2,,
01077010100-342-352,01077010100-342,987677,01077010100,23,2,1,1,0,,316428606
01077010100-342-353,01077010100-342,987677,01077010100,23,2,1,2,12,,
01077010100-343-354,01077010100-343,780528,01077010100,20,1,1,1,0,,688956366
01077010100-343-355,01077010100-343,780528,01077010100,18,2,1,2,13,,
01077010100-344-356,01077010100-344,1207510,01077010100,22,1,1,1,0,,
01077010100-344-357,01077010100-344,1207510,01077010100,22,1,1,2,12,,
01077010100-345-358,01077010100-345,926301,01077010100,22,2,1,1,0,,
01077010100-345-359,01077010100-345,926301,01077010100,3,2,1,2,2,,
01077010100-346-360,01077010100-346,554393,01077010100,21,1,1,1,0,,
01077010100-346-361,01077010100-346,554393,01077010100,21,2,1,2,1,,
01077010100-347-362,01077010100-347,1120555,01077010100,18,1,1,1,0,,
01077010100-347-363,01077010100-347,1120555,01077010100,18,1,1,2,12,,
01077010100-348-364,01077010100-348,1359309,01077010100,27,2,1,1,0,,
01077010100-348-365,01077010100-348,1359309,01077010100,11,2,1,2,2,010201000770,
01077010100-349-366,01077010100-349,796088,01077010100,25,1,1,1,0,,
01077010100-349-367,01077010100-349,796088,01077010100,24,2,1,2,1,,
01077010100-350-368,01077010100-350,364710,01077010100,33,2,1,1,0,,
01077010100-350-369,01077010100-350,364710,01077010100,14,2,1,2,2,010201000767,
01077010100-351-370,01077010100-351,603957,01077010100,27,2,1,1,0,,
