sp_id,workers,latitude,longitude
599402062,8,34.796898,-87.680642
495966202,3,34.811162,-87.680372
599402716,10,34.818983,-87.686879
475159166,10,34.815645,-87.66635
450050653,40,34.847253,-87.695537
456272467,30,34.83927,-87.688238
574675104,60,34.849593,-87.69038
644086050,64,34.839153,-87.686473
695794289,9,34.839171,-87.686708
803489137,12,34.859231,-87.540656
803489145,18,34.857125,-87.54566
803488592,45,34.968617,-87.523178
927924506,63,34.986519,-87.3797
675099709,30,34.796601,-87.673496
688956457,15,34.7994,-87.669626
695660316,9,34.795935,-87.67283
709578892,30,34.798761,-87.665296
710931726,29,34.797725,-87.670894
927919324,10,34.798418,-87.666449
927922682,60,34.800236,-87.676061
927924431,150,34.799112,-87.675952
987561073,65,34.797473,-87.668762
987561156,34,34.795728,-87.671299
967945494,5,34.803665,-87.676357
967946583,35,34.802685,-87.675943
545028466,35,34.795728,-87.671299
545028490,20,34.79922,-87.675403
599402989,25,34.795728,-87.671299
133757203,15,34.796988,-87.680444
133758326,120,34.795746,-87.68354
690640008,3,34.790589,-87.678986
967946393,10,34.796411,-87.678086
967946690,7,34.798014,-87.677897
545028524,46,34.794756,-87.679823
599400124,3,34.798104,-87.677725
133747139,7,34.817966,-87.681335
133748020,18,34.819002,-87.686879
133748269,7,34.8173,-87.686771
133750448,2,34.818722,-87.686923
133753236,60,34.821161,-87.694178
133754556,18,34.818471,-87.686923
967947250,7,34.80488,-87.673064
987560612,18,34.802883,-87.672434
701015604,20,34.810766,-87.646955
599403045,45,34.817958,-87.642635
4411765,110,34.83675,-87.631322
6174676,16,34.826769,-87.641591
133745265,4,34.830765,-87.628235
495971152,530,34.836056,-87.628127
545022758,5,34.839324,-87.634957
644089013,9,34.832295,-87.628423
313273195,3,34.818174,-87.68056
300671195,9,34.856378,-87.69154
316428606,30,34.813169,-87.713662
420243230,18,34.79922,-87.675403
420244790,40,34.800938,-87.671272
599401197,7,34.803665,-87.676357
300671344,2,34.80011,-87.675988
303750392,14,34.795683,-87.673117
306901844,14,34.805006,-87.660797
309198828,4,34.800362,-87.675916
312145592,45,34.798176,-87.659797
368393898,13,34.799534,-87.66401
416272102,40,34.798401,-87.674639
308028208,50,34.817508,-87.655307
420158057,115,34.815231,-87.663964
316428614,45,34.831359,-87.621404
456272004,15,34.833861,-87.632176
456273036,170,34.838315,-87.633644
803517028,180,34.83675,-87.631322
495961179,6,34.85898,-87.691712
420166951,6,34.844408,-87.778796
401889464,6,34.889543,-87.77993
420244303,45,34.872794,-87.661588
456275031,25,34.859528,-87.655973
511864258,6,34.867521,-87.665845
401889282,25,34.832052,-87.61847
420248007,375,34.838577,-87.352979
133750695,1,34.807428,-87.653687
303756407,68,34.826436,-87.640015
802734582,5,34.883523,-87.390257
574676169,1,34.801866,-87.673748
420243164,22,34.79922,-87.675403
226523421,275,34.807769,-87.687689
599396439,50,34.83846,-87.633869
607146461,150,34.836084,-87.628226
545023269,3,34.892315,-87.804275
675097273,2,34.909776,-87.740312
545024671,90,34.869843,-87.660697
574666293,100,34.869878,-87.660697
599402617,2,34.862193,-87.621314
644087678,8,34.860663,-87.65842
666988704,150,34.872794,-87.661588
378035158,75,34.872291,-87.660643
378971360,120,34.860176,-87.65141
382550648,20,34.860663,-87.65842
599400173,90,34.8839,-87.66617
629673088,4,34.861374,-87.452951
608365193,25,34.818129,-87.270989
250695160,650,34.801803,-87.675287
967946195,100,34.833438,-87.613358
987559218,7,34.827344,-87.639988
987560315,30,34.83675,-87.631322
310871199,3,34.844678,-87.324646
133761122,9,34.799193,-87.662137
675096754,4,34.80011,-87.675988
420244808,23,34.800938,-87.671272
3260437,25,34.791858,-87.672712
8944084,15,34.800372,-87.672596
133746990,25,34.799031,-87.665468
133755777,50,34.806591,-87.664351
260206263,82,34.836084,-87.628423
400429705,20,34.833887,-87.629063
803501519,100,34.838577,-87.671299
803510924,15,34.821909,-87.656189
803511252,8,34.832781,-87.667835
967944901,23,34.839855,-87.671237
967944935,6,34.832925,-87.66769
987557949,30,34.823456,-87.648935
133750208,7,34.835895,-87.638486
133752329,230,34.833258,-87.631925
133753822,21,34.833195,-87.631654
133754820,7,34.832538,-87.628343
803520097,60,34.829334,-87.669734
574653614,5,34.851059,-87.868525
607348836,7,34.908867,-88.008259
649575743,5,34.840331,-87.596789
133756114,15,34.801551,-87.669877
574680005,11,34.7994,-87.669626
133752832,16,34.806572,-87.663137
385173083,59,34.838559,-87.352925
675099683,6,34.827228,-87.294289
261654719,2,34.804637,-87.657511
400711410,10,34.801803,-87.675287
803522481,8,34.831746,-87.618209
620921494,157,34.82865,-87.627776
574676110,75,34.834842,-87.630629
574676656,150,34.838505,-87.63394
631830585,5,34.831314,-87.621665
378026686,5,34.833816,-87.638513
513756577,60,34.829208,-87.632438
133756320,54,34.874325,-87.698678
133760835,25,34.873109,-87.694934
133761866,1,34.882236,-87.696473
133762716,10,34.8362,-87.736874
133794818,11,34.886043,-87.911051
133762583,4,34.905546,-87.709135
305893257,30,34.869672,-87.656333
5440276,450,34.871075,-87.665909
133752444,4,34.882586,-87.660842
133756064,65,34.872794,-87.661633
133762609,80,34.880472,-87.661265
8670093,75,34.912476,-87.529423
133768101,118,34.862571,-87.530224
133768804,84,34.843418,-87.544715
206827552,10,34.859556,-87.508183
133758433,150,34.96464,-87.525401
133768069,5,35.000549,-87.511217
803488345,75,34.963064,-87.553318
133769869,93,34.956234,-87.387439
133774166,43,34.882263,-87.390239
133734129,32,34.924139,-87.268909
133759746,32,34.804584,-87.66275
420244758,20,34.798796,-87.665314
133750828,14,34.801056,-87.676592
133750976,1,34.800641,-87.674423
133749218,51,34.809606,-87.673289
133748327,53,34.816698,-87.661615
495961427,46,34.83143,-87.66725
661585117,10,34.839324,-87.634957
892482464,2,34.828155,-87.637162
892483272,73,34.838271,-87.633571
927919316,19,34.83675,-87.631322
967944471,3,34.838775,-87.640772
608364543,8,34.83864,-87.634166
219823689,3,34.857818,-87.674071
250693728,40,34.866332,-87.673675
251884706,60,34.851546,-87.751652
200030872,200,34.901487,-87.801763
226521136,20,34.900947,-87.815651
208974717,30,34.872966,-87.661642
232537381,4,34.875638,-87.664325
250694569,30,34.867377,-87.657305
300668969,80,34.880309,-87.661265
250696242,10,34.883937,-87.669499
987561719,14,34.951175,-87.530233
378029391,2,34.800444,-87.67597
475156188,5,34.808813,-87.668618
247688831,25,34.806591,-87.664351
378027585,30,34.820622,-87.653821
495962847,45,34.827318,-87.627299
803508324,26,34.83098,-87.621565
251529574,5,34.822007,-87.656387
266382936,10,34.843716,-87.649213
300671351,1,34.821926,-87.667052
309198752,15,34.821926,-87.667052
312803877,75,34.824942,-87.668086
644088528,3,34.839135,-87.639134
400702850,14,34.895645,-87.808648
359110178,240,34.84377,-87.666107
420171571,6,34.796852,-87.675557
133751859,75,34.821557,-87.651886
133757468,15,34.821603,-87.651743
635631,105,34.825274,-87.667007
9241662,200,34.829253,-87.668006
133746701,5,34.829622,-87.66509
133747329,10,34.821171,-87.653281
133748129,90,34.833636,-87.66419
133749663,16,34.824761,-87.656071
133753897,20,34.825122,-87.667007
133760181,30,34.83261,-87.667754
204617500,30,34.84377,-87.653561
249925660,35,34.822089,-87.65618
308028117,65,34.836822,-87.631663
599396355,25,34.838414,-87.633788
803502160,25,34.833689,-87.630935
133751925,77,34.850177,-87.675359
250694585,14,34.855938,-87.676457
133753772,50,34.797429,-87.6794
133758631,14,34.806006,-87.656297
711953422,127,34.83675,-87.631322
314267931,150,34.863668,-87.655253
358764249,5,34.892064,-87.671561
254881360,1,34.851041,-87.536912
309199230,11,34.858485,-87.535804
456276898,32,34.857485,-87.547415
545022063,55,34.856216,-87.552086
608364303,3,34.85663,-87.549071
545021834,7,34.96491,-87.524492
400211985,1,34.977933,-87.440368
802690420,5,34.970292,-87.373805
133773721,65,34.828055,-87.294289
534845649,1,34.907319,-87.328256
364729962,60,34.802064,-87.677015
513756205,11,34.817058,-87.669392
513757518,50,34.806591,-87.664351
545020372,7,34.80488,-87.673064
258582915,5,34.83837,-87.633716
632131082,5,34.83675,-87.631322
803500891,10,34.832016,-87.63746
399317429,2,34.824024,-87.293785
688956366,300,34.838577,-87.352979
967934571,3,34.895645,-87.243583
133747162,15,34.801254,-87.676493
133747519,6,34.803693,-87.679669
133751412,20,34.803566,-87.67652
133751644,10,34.801731,-87.678419
420243149,40,34.79922,-87.675403
378028435,10,34.807095,-87.673576
450048756,53,34.918173,-88.063114
378027908,5,34.856226,-87.552059
8944993,3,34.826832,-87.303794
802734475,22,34.824338,-87.294488
