RT,TYPE,SERIALNO,puma_id,HINCP,NP,place_id,SYNTHETIC_HID,longitude,latitude,RT,puma_id,ST,SEX,AGEP,SCH,SCHG,RELP,HISP,ESR,PINCP,NATIVITY,OCCP,POBP,RAC1P,SYNTHETIC_PID,school_id,workplace_id
H,1,1240011,100,0,1,01077010100,01077010100-14,-87.664733415977,34.8139421653277,P,1900,1,2,21,2,15,0,1,6,0,1,5810,13,1,01077010100-14-14,,
H,1,1369919,100,8200,1,01077010100,01077010100-15,-87.6627565668002,34.8093890071604,P,100,1,2,19,2,15,0,1,1,8200,1,5820,47,1,01077010100-15-15,,133755777
H,1,189786,100,1200,1,01077010100,01077010100-16,-87.6626912381103,34.8095816229119,P,2400,1,1,24,2,15,0,1,1,1200,1,4720,1,1,01077010100-16-16,,133748129
H,1,1067716,100,0,1,01077010100,01077010100-17,-87.6640894912012,34.8065797240305,P,2500,1,1,24,1,,0,1,3,0,1,8800,1,1,01077010100-17-17,,
H,1,655372,100,8300,1,01077010100,01077010100-18,-87.6600664951585,34.8065679029045,P,1303,1,2,23,2,16,0,1,1,8300,1,3030,28,1,01077010100-18-18,,133752444
H,1,649360,100,0,1,01077010100,01077010100-19,-87.6624026120154,34.8080666889304,P,100,1,1,23,3,15,0,1,6,0,1,4720,1,1,01077010100-19-19,,
H,1,343541,100,0,1,01077010100,01077010100-20,-87.6632776382409,34.808163228938,P,100,1,1,24,2,15,0,1,6,0,1,2720,28,1,01077010100-20-20,,
H,1,793906,100,0,1,01077010100,01077010100-21,-87.6634793876807,34.8077023714157,P,1302,1,2,22,2,15,0,1,6,0,1,5240,13,1,01077010100-21-21,,
H,1,126976,100,2700,1,01077010100,01077010100-22,-87.6636932460411,34.8085476500662,P,1900,1,1,24,2,16,0,1,6,2700,1,4760,47,1,01077010100-22-22,,
H,1,1061885,100,0,1,01077010100,01077010100-23,-87.662684049898,34.8068392609043,P,500,1,2,23,1,,0,1,3,0,1,9920,1,1,01077010100-23-23,,
H,1,1173319,100,3000,1,01077010100,01077010100-24,-87.662526850871,34.8082495037272,P,1600,1,2,20,2,15,0,1,1,3000,1,725,6,1,01077010100-24-24,,802734582
H,1,1023798,100,0,1,01077010100,01077010100-25,-87.6622883354991,34.8078647074481,P,302,1,1,21,1,,0,1,3,0,1,9920,1,1,01077010100-25-25,,
H,1,189786,100,1200,1,01077010100,01077010100-26,-87.6606626844809,34.8072934856034,P,2400,1,1,24,2,15,0,1,1,1200,1,4720,1,1,01077010100-26-26,,133748129
H,1,126976,100,2700,1,01077010100,01077010100-27,-87.6615189029449,34.8077021507375,P,1900,1,1,24,2,16,0,1,6,2700,1,4760,47,1,01077010100-27-27,,
H,1,1240011,100,0,1,01077010100,01077010100-28,-87.6604228822611,34.8063518559139,P,1900,1,2,21,2,15,0,1,6,0,1,5810,13,1,01077010100-28-28,,
H,1,1175896,100,8800,1,01077010100,01077010100-29,-87.6633965926794,34.8067342738963,P,302,1,1,20,1,,0,1,6,8800,1,,17,1,01077010100-29-29,,
H,1,204495,100,1000,1,01077010100,01077010100-30,-87.663546075529,34.8070617377558,P,1301,1,1,22,2,15,0,1,1,1000,1,4720,1,1,01077010100-30-30,,513756080
H,1,742272,100,0,1,01077010100,01077010100-31,-87.6780317808487,34.8060907801069,P,1000,1,2,25,1,,0,1,3,0,1,4720,1,1,01077010100-31-31,,
H,1,794140,100,2800,1,01077010100,01077010100-32,-87.6598042121352,34.8070328907601,P,2300,1,2,25,1,,0,1,3,2800,1,8740,12,1,01077010100-32-32,,
H,1,1271409,100,0,1,01077010100,01077010100-33,-87.660577367853,34.8076936046925,P,600,1,2,34,1,,0,1,6,0,1,9640,26,1,01077010100-33-33,,
H,1,252109,100,4800,1,01077010100,01077010100-34,-87.6600823469533,34.8071473456588,P,2200,1,1,31,1,,0,1,1,4800,1,4030,1,1,01077010100-34-34,,133768804
H,1,731009,100,8000,1,01077010100,01077010100-35,-87.6626495903991,34.8068879696421,P,1302,1,2,33,2,15,0,1,1,8000,1,4130,1,1,01077010100-35-35,,232537381
H,1,993559,100,0,1,01077010100,01077010100-36,-87.6616378956948,34.8078262990895,P,2200,1,1,26,1,,0,1,3,0,1,9920,13,1,01077010100-36-36,,
H,1,379458,100,0,1,01077010100,01077010100-37,-87.6615110465446,34.807982832081,P,1303,1,2,25,2,16,0,1,6,0,1,4760,47,1,01077010100-37-37,,
H,1,1072252,100,0,1,01077010100,01077010100-38,-87.661065840011,34.8085530882531,P,1200,1,2,28,2,15,0,1,6,0,1,4760,19,1,01077010100-38-38,,
H,1,1038364,100,8000,1,01077010100,01077010100-39,-87.6623760680244,34.8094444335806,P,1302,1,1,28,1,,0,1,1,8000,1,8610,1,1,01077010100-39-39,,133760397
H,1,1306079,100,1200,1,01077010100,01077010100-40,-87.6630303426222,34.8082168301972,P,100,1,1,41,1,,0,1,1,1200,1,6200,37,1,01077010100-40-40,,133760835
H,1,1155414,100,0,1,01077010100,01077010100-41,-87.6625667044179,34.8089726782343,P,100,1,2,42,1,,0,1,3,0,1,4600,42,1,01077010100-41-41,,
H,1,239451,100,9600,1,01077010100,01077010100-42,-87.6783802060619,34.809352355404,P,1600,1,1,48,1,,0,1,6,9600,1,,1,1,01077010100-42-42,,
H,1,847287,100,2200,1,01077010100,01077010100-43,-87.6786220567928,34.8095200748889,P,2500,1,1,52,1,,0,1,3,2200,1,8740,1,1,01077010100-43-43,,
H,1,1266413,100,9600,1,01077010100,01077010100-44,-87.680902699316,34.8092528471659,P,500,1,1,52,1,,0,1,1,9600,1,4110,1,1,01077010100-44-44,,416272102
H,1,521140,100,7700,1,01077010100,01077010100-45,-87.6806519652708,34.8094708092575,P,1500,1,2,49,1,,0,1,6,7700,1,,1,1,01077010100-45-45,,
H,1,476815,100,-1500,1,01077010100,01077010100-46,-87.6812879607594,34.8087732043431,P,900,1,1,54,1,,0,1,1,-1500,1,6230,1,1,01077010100-46-46,,200030872
H,1,973450,100,8500,1,01077010100,01077010100-47,-87.6825595159759,34.8086860774422,P,700,1,2,52,1,,0,1,6,8500,1,,1,1,01077010100-47-47,,
H,1,749548,100,9200,1,01077010100,01077010100-48,-87.684777850065,34.8109943123048,P,400,1,2,47,1,,0,1,6,9200,1,,1,1,01077010100-48-48,,
H,1,1406727,100,7800,1,01077010100,01077010100-49,-87.6854023491227,34.807882462577,P,700,1,2,50,1,,0,1,6,7800,1,,1,1,01077010100-49-49,,
H,1,729823,100,0,1,01077010100,01077010100-50,-87.6867016315332,34.8095506484246,P,900,1,2,49,1,,0,1,6,0,1,,1,1,01077010100-50-50,,
H,1,646905,100,8100,1,01077010100,01077010100-51,-87.6860048309858,34.8094942047567,P,100,1,2,47,1,,0,1,6,8100,1,,1,1,01077010100-51-51,,
H,1,1300742,100,0,1,01077010100,01077010100-52,-87.6859877352225,34.8108466903528,P,1000,1,2,48,1,,0,1,6,0,1,,13,1,01077010100-52-52,,
H,1,1413714,100,8700,1,01077010100,01077010100-53,-87.6848135789127,34.8115653522445,P,1100,1,2,59,1,,0,1,6,8700,1,,1,1,01077010100-53-53,,
H,1,609513,100,9200,1,01077010100,01077010100-54,-87.6869051784823,34.81036756299,P,900,1,1,56,1,,0,1,6,9200,1,,1,1,01077010100-54-54,,
H,1,736351,100,1700,1,01077010100,01077010100-55,-87.6824911889414,34.8091159229108,P,1200,1,2,60,1,,0,1,6,1700,1,,1,1,01077010100-55-55,,
H,1,1390644,100,8400,1,01077010100,01077010100-56,-87.6615116570982,34.8091809056264,P,1800,1,1,62,1,,0,1,6,8400,1,,1,1,01077010100-56-56,,
H,1,302195,100,100,1,01077010100,01077010100-57,-87.6630901951612,34.8093519806445,P,1400,1,2,63,1,,0,1,6,100,1,,1,1,01077010100-57-57,,
H,1,916497,100,3600,1,01077010100,01077010100-58,-87.6819988498961,34.8092399251553,P,900,1,1,61,1,,0,1,6,3600,1,6260,1,1,01077010100-58-58,,
H,1,545722,100,9700,1,01077010100,01077010100-59,-87.6784301825935,34.809456370316,P,200,1,1,61,1,,0,1,6,9700,1,7200,1,1,01077010100-59-59,,
H,1,805438,100,2400,1,01077010100,01077010100-60,-87.6785642956569,34.80881727498,P,1303,1,2,60,1,,0,1,1,2400,1,2320,6,1,01077010100-60-60,,967946393
H,1,850761,100,6100,1,01077010100,01077010100-61,-87.6822352131501,34.8091859307667,P,900,1,1,63,1,,0,1,1,6100,1,6330,1,1,01077010100-61-61,,664186749
H,1,1270664,100,7800,1,01077010100,01077010100-62,-87.6610587463796,34.8091894807867,P,500,1,2,64,1,,0,1,6,7800,1,,21,1,01077010100-62-62,,
H,1,137172,100,0,1,01077010100,01077010100-63,-87.6817635469208,34.8093618013131,P,1800,1,2,64,1,,0,1,6,0,1,,1,1,01077010100-63-63,,
H,1,716937,100,9400,1,01077010100,01077010100-64,-87.6625053204885,34.8093583303236,P,1400,1,2,69,1,,0,1,6,9400,1,,13,1,01077010100-64-64,,
H,1,1045260,100,9100,1,01077010100,01077010100-65,-87.6619610887987,34.810184853765,P,1400,1,1,67,1,,0,1,6,9100,1,,1,1,01077010100-65-65,,
H,1,503650,100,0,1,01077010100,01077010100-66,-87.6622806681585,34.8100604769877,P,200,1,2,67,1,,0,1,6,0,1,,48,1,01077010100-66-66,,
H,1,235644,100,9500,1,01077010100,01077010100-67,-87.6619857334254,34.8105989448751,P,2500,1,2,68,1,,0,1,6,9500,1,,1,1,01077010100-67-67,,
H,1,541473,100,8400,1,01077010100,01077010100-68,-87.6634108595947,34.8101971803603,P,500,1,2,65,1,,0,1,6,8400,1,,1,1,01077010100-68-68,,
H,1,62373,100,8100,1,01077010100,01077010100-69,-87.6830257307572,34.8102062079964,P,2500,1,2,70,1,,0,1,6,8100,1,,1,1,01077010100-69-69,,
H,1,652043,100,0,1,01077010100,01077010100-70,-87.6823604591936,34.8092352544116,P,1000,1,1,82,1,,0,1,6,0,1,,1,1,01077010100-70-70,,
H,1,944,100,1600,1,01077010100,01077010100-71,-87.6822850760423,34.8078514900538,P,500,1,2,88,1,,0,1,6,1600,1,,1,1,01077010100-71-71,,
H,1,271770,100,340,1,01077010100,01077010100-72,-87.6831040220965,34.8086040531868,P,1900,1,2,86,1,,0,1,1,340,1,4220,28,1,01077010100-72-72,,133751859
H,1,374090,100,8800,1,01077010100,01077010100-73,-87.6835236281665,34.8091093358346,P,400,1,2,87,1,,0,1,6,8800,1,,47,1,01077010100-73-73,,
H,1,62692,100,0,1,01077010100,01077010100-74,-87.6827513929039,34.8087739138326,P,2500,1,2,22,2,15,0,1,6,0,1,,1,2,01077010100-74-74,,
H,1,1404018,100,0,1,01077010100,01077010100-75,-87.6822159090401,34.8098934020694,P,2701,1,1,22,3,15,0,1,6,0,1,,1,2,01077010100-75-75,,
H,1,1274338,100,8500,1,01077010100,01077010100-76,-87.6628074266017,34.8105762559877,P,2500,1,2,51,1,,0,1,6,8500,1,,1,2,01077010100-76-76,,
H,1,858565,100,2000,1,01077010100,01077010100-77,-87.6637301721228,34.810250287945,P,301,1,1,24,3,15,0,1,3,2000,1,4700,12,2,01077010100-77-77,,
H,1,141485,100,2000,1,01077010100,01077010100-78,-87.6643129810748,34.8096852124762,P,2702,1,2,23,2,16,0,1,6,2000,1,2000,13,2,01077010100-78-78,,
H,1,1404018,100,0,1,01077010100,01077010100-79,-87.6827607189851,34.8104557563513,P,2701,1,1,22,3,15,0,1,6,0,1,,1,2,01077010100-79-79,,
H,1,333400,100,0,1,01077010100,01077010100-80,-87.6652130005129,34.8111892782903,P,1305,1,1,23,1,,0,1,6,0,1,4600,1,2,01077010100-80-80,,
H,1,494896,100,80,1,01077010100,01077010100-81,-87.6638098288814,34.8110883715665,P,2500,1,2,21,1,,0,1,3,80,1,4600,1,2,01077010100-81-81,,
H,1,1039194,100,7500,1,01077010100,01077010100-82,-87.6633563043372,34.8109353399755,P,1900,1,1,22,3,16,0,1,6,7500,1,3050,28,2,01077010100-82-82,,
H,1,494896,100,80,1,01077010100,01077010100-83,-87.6629375244955,34.8113548538329,P,2500,1,2,21,1,,0,1,3,80,1,4600,1,2,01077010100-83-83,,
H,1,1013789,100,6300,1,01077010100,01077010100-84,-87.6636584778837,34.8113636264713,P,2500,1,2,24,2,15,0,1,1,6300,1,4110,1,2,01077010100-84-84,,599402062
H,1,858565,100,2000,1,01077010100,01077010100-85,-87.6635203023832,34.8113400612865,P,301,1,1,24,3,15,0,1,3,2000,1,4700,12,2,01077010100-85-85,,
H,1,1378057,100,2400,1,01077010100,01077010100-86,-87.6648533288606,34.81142550947,P,1000,1,2,20,1,,0,1,3,2400,1,7750,1,2,01077010100-86-86,,
H,1,928022,100,7500,1,01077010100,01077010100-87,-87.6644011918465,34.8118742733411,P,1304,1,1,24,1,,0,1,1,7500,1,9610,1,2,01077010100-87-87,,378027908
H,1,1197989,100,500,1,01077010100,01077010100-88,-87.6633468490523,34.8121767278676,P,1100,1,2,21,1,,0,1,1,500,1,4110,1,2,01077010100-88-88,,6174676
H,1,867190,100,5000,1,01077010100,01077010100-89,-87.6640634633548,34.8120102897237,P,302,1,1,25,2,15,0,1,1,5000,1,5620,47,2,01077010100-89-89,,133745265
H,1,646897,100,0,1,01077010100,01077010100-90,-87.6643859116354,34.8128055458635,P,2100,1,1,34,1,,0,1,3,0,1,4220,1,2,01077010100-90-90,,
H,1,1391899,100,0,1,01077010100,01077010100-91,-87.6633349069459,34.8130157011515,P,2400,1,2,32,1,,0,1,6,0,1,,1,2,01077010100-91-91,,
H,1,1392659,100,0,1,01077010100,01077010100-92,-87.6826146816,34.8104047020937,P,100,1,1,34,1,,0,1,3,0,1,7240,1,2,01077010100-92-92,,
H,1,1292520,100,0,1,01077010100,01077010100-93,-87.6772986682122,34.8071714509606,P,1305,1,1,32,1,,0,1,6,0,1,,1,2,01077010100-93-93,,
H,1,940222,100,0,1,01077010100,01077010100-94,-87.677360962588,34.8076062417112,P,2200,1,1,26,1,,0,1,6,0,1,,1,2,01077010100-94-94,,
H,1,646897,100,0,1,01077010100,01077010100-95,-87.6779222898737,34.8088869357248,P,2100,1,1,34,1,,0,1,3,0,1,4220,1,2,01077010100-95-95,,
H,1,1292520,100,0,1,01077010100,01077010100-96,-87.6637890946856,34.8136240154518,P,1305,1,1,32,1,,0,1,6,0,1,,1,2,01077010100-96-96,,
H,1,1076033,100,0,1,01077010100,01077010100-97,-87.6638584235028,34.812800326568,P,2000,1,1,29,3,16,0,1,6,0,1,2145,12,2,01077010100-97-97,,
H,1,643535,100,4300,1,01077010100,01077010100-98,-87.6624981103784,34.8119096106618,P,2701,1,1,42,2,15,0,1,1,4300,1,3930,36,2,01077010100-98-98,,133754762
H,1,856745,100,2770,1,01077010100,01077010100-99,-87.6629288100734,34.8124166091771,P,100,1,2,53,1,,0,1,6,2770,1,,1,2,01077010100-99-99,,
H,1,74803,100,9600,1,01077010100,01077010100-100,-87.6623179531727,34.8112958865373,P,2500,1,2,51,1,,0,1,6,9600,1,,1,2,01077010100-100-100,,
H,1,1116327,100,0,1,01077010100,01077010100-101,-87.661166538298,34.8100575945084,P,1301,1,2,47,1,,0,1,3,0,1,4940,1,2,01077010100-101-101,,
H,1,206743,100,8500,1,01077010100,01077010100-102,-87.6605202605905,34.8093733686372,P,2200,1,2,53,1,,0,1,6,8500,1,,1,2,01077010100-102-102,,
H,1,1111484,100,8000,1,01077010100,01077010100-103,-87.6701970642463,34.7865505929482,P,1304,1,2,50,1,,0,1,6,8000,1,,1,2,01077010100-103-103,,
H,1,821036,100,0,1,01077010100,01077010100-104,-87.6702811231155,34.7869749945929,P,2200,1,1,52,1,,0,1,3,0,1,9920,1,2,01077010100-104-104,,
H,1,1364276,100,0,1,01077010100,01077010100-105,-87.6702909043621,34.7884275700853,P,1700,1,2,52,1,,0,1,6,0,1,8220,1,2,01077010100-105-105,,
H,1,61917,100,8230,1,01077010100,01077010100-106,-87.6709122006133,34.7894153361749,P,1302,1,2,58,1,,0,1,6,8230,1,,1,2,01077010100-106-106,,
H,1,898315,100,8500,1,01077010100,01077010100-107,-87.6701221993749,34.7885293247905,P,1700,1,2,55,1,,0,1,6,8500,1,,1,2,01077010100-107-107,,
H,1,634474,100,5000,1,01077010100,01077010100-108,-87.6698840221924,34.788387255956,P,2400,1,1,61,1,,0,1,6,5000,1,,1,2,01077010100-108-108,,
H,1,435187,100,8100,1,01077010100,01077010100-109,-87.6708102303841,34.7889529142779,P,2300,1,1,61,1,,0,1,6,8100,1,,1,2,01077010100-109-109,,
H,1,554404,100,8400,1,01077010100,01077010100-110,-87.6727901526011,34.7894331098322,P,1302,1,2,62,1,,0,1,6,8400,1,,1,2,01077010100-110-110,,
H,1,203963,100,0,1,01077010100,01077010100-111,-87.6731114313502,34.7886504423456,P,2500,1,2,62,1,,0,1,6,0,1,,1,2,01077010100-111-111,,
H,1,1049774,100,1410,1,01077010100,01077010100-112,-87.6730710509107,34.7882780371584,P,1100,1,1,61,1,,0,1,6,1410,1,,1,2,01077010100-112-112,,
H,1,173974,100,7200,1,01077010100,01077010100-113,-87.6720160465956,34.7867779837371,P,2400,1,1,72,1,,0,1,6,7200,1,,1,2,01077010100-113-113,,
H,1,475481,100,1400,1,01077010100,01077010100-114,-87.6710081192921,34.7856819000442,P,1302,1,2,67,1,,0,1,6,1400,1,9130,1,2,01077010100-114-114,,
H,1,1379473,100,8500,1,01077010100,01077010100-115,-87.6707882177418,34.7860125523971,P,400,1,1,68,1,,0,24,6,8500,2,,303,2,01077010100-115-115,,
H,1,385677,100,3100,1,01077010100,01077010100-116,-87.6720558400547,34.7883254832501,P,2500,1,2,87,1,,0,1,6,3100,1,,13,2,01077010100-116-116,,
H,1,650469,100,6900,1,01077010100,01077010100-117,-87.671756792167,34.7869000764165,P,1800,1,2,93,1,,0,1,6,6900,1,,1,2,01077010100-117-117,,
H,1,1105056,100,970,1,01077010100,01077010100-118,-87.6720589280024,34.7892975256444,P,1900,1,1,20,2,15,0,1,1,970,1,4060,13,6,01077010100-118-118,,420243149
H,1,1105056,100,970,1,01077010100,01077010100-119,-87.6728039332503,34.791460658021,P,1900,1,1,20,2,15,0,1,1,970,1,4060,13,6,01077010100-119-119,,927922682
H,1,284783,100,0,1,01077010100,01077010100-120,-87.6730276642853,34.7866798328595,P,301,1,1,22,2,15,0,1,6,0,2,,207,6,01077010100-120-120,,
H,1,1105056,100,970,1,01077010100,01077010100-121,-87.6722398931186,34.785342737998,P,1900,1,1,20,2,15,0,1,1,970,1,4060,13,6,01077010100-121-121,,803507698
H,1,284783,100,0,1,01077010100,01077010100-122,-87.6745510440614,34.79198356691,P,301,1,1,22,2,15,0,1,6,0,2,,207,6,01077010100-122-122,,
H,1,284783,100,0,1,01077010100,01077010100-123,-87.6694175602005,34.7905612275327,P,301,1,1,22,2,15,0,1,6,0,2,,207,6,01077010100-123-123,,
H,1,284783,100,0,1,01077010100,01077010100-124,-87.6719834423278,34.791616413723,P,301,1,1,22,2,15,0,1,6,0,2,,207,6,01077010100-124-124,,
H,1,284783,100,0,1,01077010100,01077010100-125,-87.6723256676836,34.790862901622,P,301,1,1,22,2,15,0,1,6,0,2,,207,6,01077010100-125-125,,
H,1,284783,100,0,1,01077010100,01077010100-126,-87.6719085127071,34.7918845784688,P,301,1,1,22,2,15,0,1,6,0,2,,207,6,01077010100-126-126,,
H,1,284783,100,0,1,01077010100,01077010100-127,-87.6733657542504,34.790294470283,P,301,1,1,22,2,15,0,1,6,0,2,,207,6,01077010100-127-127,,
H,1,689985,100,0,1,01077010100,01077010100-128,-87.6725662389743,34.7911624195069,P,1600,1,2,26,2,15,0,1,6,0,2,,207,6,01077010100-128-128,,
H,1,689985,100,0,1,01077010100,01077010100-129,-87.6721844141675,34.7911384456794,P,1600,1,2,26,2,15,0,1,6,0,2,,207,6,01077010100-129-129,,
H,1,689985,100,0,1,01077010100,01077010100-130,-87.6725047468408,34.791709025985,P,1600,1,2,26,2,15,0,1,6,0,2,,207,6,01077010100-130-130,,
H,1,742505,100,9600,1,01077010100,01077010100-131,-87.6726512205772,34.7918656645839,P,600,1,1,49,1,,0,1,1,9600,2,1350,215,6,01077010100-131-131,,133752329
H,1,464440,100,14000,1,01077010100,01077010100-132,-87.6646557763018,34.7951917688378,P,2600,1,2,22,1,,0,1,1,14000,1,4110,17,1,01077010100-132-132,,927924506
H,1,1432878,100,14000,1,01077010100,01077010100-133,-87.6632296541364,34.7933700918258,P,1100,1,1,22,1,,0,1,1,14000,1,2810,1,1,01077010100-133-133,,967947441
H,1,1056873,100,10000,1,01077010100,01077010100-134,-87.6638249121128,34.794734807582,P,200,1,2,21,2,15,0,1,1,10000,1,5700,1,1,01077010100-134-134,,133748020
H,1,1056873,100,10000,1,01077010100,01077010100-135,-87.6632109134744,34.7936374483845,P,200,1,2,21,2,15,0,1,1,10000,1,5700,1,1,01077010100-135-135,,511864258
H,1,464440,100,14000,1,01077010100,01077010100-136,-87.664158918148,34.794947191359,P,2600,1,2,22,1,,0,1,1,14000,1,4110,17,1,01077010100-136-136,,250695160
H,1,159678,100,10000,1,01077010100,01077010100-137,-87.6673726925539,34.7927787873776,P,1000,1,2,17,1,,0,1,1,10000,1,4020,1,1,01077010100-137-137,,599402716
H,1,71504,100,12000,1,01077010100,01077010100-138,-87.6665571900335,34.7921566459417,P,2702,1,1,22,2,15,0,1,1,12000,1,4010,1,1,01077010100-138-138,,599394434
H,1,746700,100,14000,1,01077010100,01077010100-139,-87.6675756574674,34.7937516425391,P,2100,1,2,23,1,,0,1,1,14000,1,4110,1,1,01077010100-139-139,,420244790
H,1,159678,100,10000,1,01077010100,01077010100-140,-87.6679467693742,34.7935108711198,P,1000,1,2,17,1,,0,1,1,10000,1,4020,1,1,01077010100-140-140,,420244303
H,1,159678,100,10000,1,01077010100,01077010100-141,-87.6662418734467,34.7946334532778,P,1000,1,2,17,1,,0,1,1,10000,1,4020,1,1,01077010100-141-141,,534845649
H,1,159678,100,10000,1,01077010100,01077010100-142,-87.6729834706005,34.7945581567663,P,1000,1,2,17,1,,0,1,1,10000,1,4020,1,1,01077010100-142-142,,666988704
H,1,1189344,100,14400,1,01077010100,01077010100-143,-87.6730533472757,34.79215907642,P,900,1,2,25,1,,0,1,1,14400,1,910,6,1,01077010100-143-143,,456272004
H,1,538842,100,11000,1,01077010100,01077010100-144,-87.6691240040675,34.7912298088762,P,2300,1,2,34,1,,0,1,3,11000,1,4020,13,1,01077010100-144-144,,
H,1,789648,100,12000,1,01077010100,01077010100-145,-87.6686628718088,34.7922730281337,P,2500,1,1,31,1,,0,1,1,12000,1,4760,1,1,01077010100-145-145,,420243230
H,1,1189344,100,14400,1,01077010100,01077010100-146,-87.6686978491438,34.7921824081111,P,900,1,2,25,1,,0,1,1,14400,1,910,6,1,01077010100-146-146,,378028435
H,1,1162002,100,14000,1,01077010100,01077010100-147,-87.668463500446,34.7916840428454,P,500,1,1,64,1,,0,1,6,14000,1,50,13,1,01077010100-147-147,,
H,1,1064359,100,10500,1,01077010100,01077010100-148,-87.6744724936738,34.7922632008458,P,500,1,1,47,1,,0,1,6,10500,1,,1,1,01077010100-148-148,,
H,1,1064359,100,10500,1,01077010100,01077010100-149,-87.6720758317437,34.791643190085,P,500,1,1,47,1,,0,1,6,10500,1,,1,1,01077010100-149-149,,
H,1,1085111,100,12500,1,01077010100,01077010100-150,-87.671881673336,34.7916364979831,P,2200,1,1,53,1,,0,1,6,12500,1,,1,1,01077010100-150-150,,
H,1,66772,100,11400,1,01077010100,01077010100-151,-87.6738970850672,34.7927739616461,P,400,1,2,48,1,,0,1,6,11400,1,,1,1,01077010100-151-151,,
H,1,1408315,100,10000,1,01077010100,01077010100-152,-87.6726514274759,34.7932513708604,P,700,1,2,45,1,,0,1,1,10000,1,4230,1,1,01077010100-152-152,,250695160
H,1,1001168,100,12100,1,01077010100,01077010100-153,-87.6740460344629,34.7926742406341,P,2100,1,1,57,1,,0,1,6,12100,1,,1,1,01077010100-153-153,,
H,1,163581,100,10200,1,01077010100,01077010100-154,-87.6726471597288,34.7950146936989,P,800,1,1,63,1,,0,1,6,10200,1,4250,1,1,01077010100-154-154,,
H,1,384290,100,14700,1,01077010100,01077010100-155,-87.6721129216751,34.7941442961829,P,1100,1,2,64,1,,0,1,6,14700,1,,13,1,01077010100-155-155,,
H,1,959771,100,13800,1,01077010100,01077010100-156,-87.6720413986369,34.7940499411841,P,1800,1,2,64,1,,0,1,6,13800,1,5240,1,1,01077010100-156-156,,
H,1,59561,100,12000,1,01077010100,01077010100-157,-87.6710840025304,34.7928545380285,P,2400,1,1,60,1,,0,1,1,12000,1,6240,1,1,01077010100-157-157,,803488592
H,1,1259509,100,14500,1,01077010100,01077010100-158,-87.6698999601658,34.7911883062828,P,2300,1,2,61,1,,0,1,6,14500,1,,1,1,01077010100-158-158,,
H,1,524130,100,12000,1,01077010100,01077010100-159,-87.6708969579214,34.7915346539595,P,2701,1,1,67,1,,0,1,6,12000,1,,47,1,01077010100-159-159,,
H,1,1305843,100,14700,1,01077010100,01077010100-160,-87.6713072649463,34.7928185001883,P,500,1,2,72,1,,0,1,6,14700,1,,1,1,01077010100-160-160,,
