"","School","ID","CoNo","StNo","Long","Lat","Low","High","Students"
"69","ASHLAND ELEM SCH","010075000307","27","01","-85.839800","33.270600",0,6,543
"70","ASHVILLE ELEM SCH","010306201622","115","01","-86.265300","33.818300",-1,4,440
"71","ASHVILLE HIGH SCH","010306201362","115","01","-86.265400","33.818100",9,12,388
"72","ASHVILLE MIDDLE SCH","010306200322","115","01","-86.265400","33.818200",5,8,387
"73","ATHENS ELEM SCH","010012001471","83","01","-86.973600","34.808700",-1,4,389
"74","ATHENS HIGH SCH","010012001472","83","01","-86.950700","34.804500",9,12,890
"75","ATHENS INTERMEDIATE SCH","010012000522","83","01","-86.996700","34.793400",5,6,509
"76","ATHENS MIDDLE SCH","010012001473","83","01","-86.968000","34.795700",7,8,514
"77","AUBURN EARLY ED CTR","010021000053","81","01","-85.469400","32.586200",-1,2,544
"78","AUBURN FARM CTR","010021001263","81","01","-85.560200","32.548300",5,12,524.598433921844
"79","AUBURN HIGH SCH","010021000036","81","01","-85.463300","32.596900",10,12,1625
"80","AUBURN JR HIGH SCH","010021000037","81","01","-85.476700","32.598100",8,9,1181
"81","AUGUSTA EVANS SCH","010237001618","97","01","-88.099200","30.692300",-1,12,267
"82","AUSTIN HIGH SCH","010117000426","103","01","-87.007700","34.579900",9,12,1383
"83","AUSTINVILLE ELEM SCH","010117000427","103","01","-86.996900","34.568600",-1,5,361
"84","AUTAUGA CO ALT SCH","010024000587","1","01","-86.454200","32.456100",3,12,524.598433921844
"85","AUTAUGA CO TECH CTR","010024000590","1","01","-86.475000","32.495700",9,12,524.598433921844
"86","AUTAUGAVILLE SCH","010024001408","1","01","-86.659300","32.433900",0,12,328
"87","AVONDALE ELEM SCH","010039000103","73","01","-86.771200","33.516900",-1,5,523
"88","BAGLEY JR HIGH","010192000684","73","01","-86.990500","33.754500",0,8,548
"89","BAKER HIGH SCH","010237000899","97","01","-88.251700","30.669500",9,12,2518
"90","BALDWIN ART AND ACADCS MAGNET","010243001776","101","01","-86.305600","32.372500",6,8,567
"91","BALDWIN CO ALT SCH","010027001554","3","01","-87.903900","30.502100",6,12,524.598433921844
"92","BALDWIN CO HIGH SCH","010027001810","3","01","-87.794000","30.893700",9,12,1182
"93","BANKHEAD MIDDLE SCH","010345001305","127","01","-87.181000","33.767100",5,8,310
"94","BANKS MIDDLE SCHOOL","010039000105","73","01","-86.707400","33.570900",6,8,524.598433921844
"95","BANKS SCH","010279001110","109","01","-85.838600","31.817900",0,8,358
"96","BANKS-CADDELL ELEM SCH","010117000432","103","01","-86.983500","34.599200",-1,5,469
"97","BARBOUR CO HIGH SCH","010030000074","5","01","-85.449200","31.868900",10,12,215
"98","BARBOUR CO INTERMEDIATE SCH","010030001641","5","01","-85.554600","31.780400",3,6,254
"99","BARBOUR CO PRIMARY SCH","010030001478","5","01","-85.549100","31.777600",-1,2,285
"100","BARBOUR COUNTY MIDDLE SCHOOL","010030001557","5","01","-85.460400","31.872700",7,9,215
"101","BARKLEY BRIDGE ELEM SCH","010173000328","103","01","-86.949000","34.419100",0,4,316
"102","BARRETT ELEM SCH","010039000106","73","01","-86.728100","33.559900",0,5,446
"103","BAY MINETTE ELEM SCH","010027001708","3","01","-87.774600","30.890800",-1,3,556
"104","BAY MINETTE INTERMEDIATE SCH","010027000012","3","01","-87.774200","30.888900",4,6,342
"105","BAY MINETTE MIDDLE SCH","010027001859","3","01","-87.780700","30.893800",7,8,522
"106","BB COMER MEMORIAL ELEM SCH","010318000577","121","01","-86.258300","33.178700",0,6,502
"107","BB COMER MEMORIAL HIGH SCH","010318001210","121","01","-86.257900","33.179000",7,12,491
"108","BEAR EXPLORATION CTR","010243000991","101","01","-86.271700","32.336900",0,5,539
"109","BEATRICE ELEM SCH","010240000972","99","01","-87.206000","31.737800",0,6,524.598433921844
"110","BEAUREGARD ELEM SCH","010207000284","81","01","-85.373100","32.549500",-1,4,686
"111","BEAUREGARD HIGH SCH","010207000790","81","01","-85.369500","32.547100",9,12,701
"112","BELGREEN HIGH SCH","010159000541","59","01","-87.865300","34.474900",-1,12,452
"113","BELL-BROWN CAREER TECH CTR","010309001194","119","01","-88.302100","32.641800",10,12,524.598433921844
"114","BELLINGRATH JR HIGH SCH","010243000993","101","01","-86.308300","32.347700",6,8,668
"115","BEN C RAIN HIGH SCH","010237000898","97","01","-88.073500","30.607200",9,12,780
"116","BENJAMIN DAVIS ELEM SCH","010117000437","103","01","-87.007300","34.610600",0,2,242
"117","BENJAMIN RUSSELL HIGH SCH","010003000003","123","01","-85.950800","32.937700",9,12,974
"118","BERNICE J CAUSEY MIDDLE SCH","010237001435","97","01","-88.258300","30.646400",6,8,1487
"119","BERRY ELEM SCH","010147001512","57","01","-87.601200","33.664500",-1,6,299
"120","BERRY HIGH SCH","010147000521","57","01","-87.599000","33.663000",7,12,269
"121","BERRY MIDDLE SCH","010000700337","117","01","-86.732200","33.395600",6,8,1189
"122","BESSEMER CTR FOR TECH","010033001267","73","01","-87.002500","33.370500",9,12,524.598433921844
"123","BEULAH ELEM SCH","010207000285","81","01","-85.188800","32.713800",-1,6,748
"124","BEULAH HIGH SCH","010207000791","81","01","-85.188200","32.710700",7,12,593
"125","BEVERLYE MIDDLE SCH","010123001499","69","01","-85.352900","31.194100",6,8,451
"126","BIBB CO HIGH SCH","010036000092","7","01","-87.142600","32.947200",9,12,533
"127","BIBB CO JR HIGH SCH","010036001470","7","01","-87.143300","32.945400",7,8,524.598433921844
"128","BIBB COUNTY CAREER/TECHNICAL CENTER","010036000669","7","01","-87.136000","33.051800",9,12,524.598433921844
"129","BIG SANDY ELEMENTARY","010339002350","125","01","-87.588000","33.054200",0,5,365
"130","BIG SPRING LAKE KINDERG SCH","010000501616","95","01","-86.192500","34.290200",0,0,476
"131","BILLINGSLEY HIGH SCH","010024000045","1","01","-86.701800","32.662200",0,12,658
"132","BLOSSOMWOOD ELEM SCH","010180000618","89","01","-86.566900","34.723800",-1,5,554
"133","BLOUNT CO CAREER TECH CTR","010042000682","9","01","-86.561500","33.990900",10,12,524.598433921844
"134","BLOUNT CO MULTI-NEEDS CTR","010042000676","9","01","-86.572600","33.992900",-1,12,524.598433921844
"135","BLOUNTSVILLE ELEM SCH","010042000205","9","01","-86.586000","34.084700",0,6,672
"136","BLUE SPRINGS ELEM SCH","010210002164","83","01","-87.152200","34.800000",0,5,488
"137","BLUFF CITY ELEM SCH","010141000510","5","01","-85.151500","31.867600",1,5,524.598433921844
"138","BLUFF PK ELEM SCH","010000701738","73","01","-86.853800","33.409600",0,5,642
"139","BOAZ ELEM SCH","010001201781","95","01","-86.178100","34.206500",-1,1,401
"140","BOAZ HIGH SCH","010001200874","95","01","-86.163900","34.211800",9,12,628
"141","BOAZ INTERMEDIATE SCH","010001201630","95","01","-86.161300","34.213500",4,5,355
"142","BOAZ MIDDLE SCH","010001200123","95","01","-86.157900","34.212200",6,8,450
"143","BOB HARDING-SHAWMUT ELEM","010060000268","17","01","-85.185300","32.840100",-1,5,245
"144","BOB JONES HIGH SCH","010000800831","89","01","-86.742500","34.719200",9,12,1868
"145","BOOKER T WASHINGTON HIGH","010219001811","87","01","-85.733600","32.400600",9,12,615
"146","BOOKER T WASHINGTON MAGNET HIGH SCH","010243000504","101","01","-86.299500","32.369200",9,12,440
"147","BOOKER T WASHINGTON MIDDLE SCH","010237000901","97","01","-88.084700","30.702800",6,8,283
"148","BOTTENFIELD MIDDLE SCH","010192000687","73","01","-86.932900","33.594500",6,8,802
"149","BRAGG MIDDLE SCH","010192000689","73","01","-86.816800","33.647200",6,8,877
"150","BRANTLEY ELEM SCH","010111000395","47","01","-86.960500","32.424800",0,6,225
"151","BRANTLEY HIGH SCH","010096000365","41","01","-86.255600","31.591000",-1,12,609
"152","BRANTWOOD CHILDREN'S HOME","010004001851","101","01","-86.290400","32.384900",-2,-2,524.598433921844
"153","BREITLING ELEM SCH","010237002083","97","01","-88.336300","30.516800",-1,5,578
"154","BRENT ELEM SCH","010036000094","7","01","-87.110100","32.942800",5,8,488
"155","BREWBAKER INTERMEDIATE SCH","010243001392","101","01","-86.219600","32.324100",3,5,672
"156","BREWBAKER JR HIGH SCH","010243001563","101","01","-86.218700","32.321300",6,8,957
"157","BREWBAKER PRIMARY SCH","010243001753","101","01","-86.218800","32.323800",-1,2,815
"158","BREWBAKER TECH MAGNET HIGH SCH","010243001457","101","01","-86.220000","32.319800",9,12,621
"159","BREWTON ELEM SCH","010045000214","53","01","-87.073600","31.117900",0,4,435
"160","BREWTON MIDDLE SCH","010045000215","53","01","-87.060400","31.160600",5,8,341
"161","BRIDGEPORT ELEM SCH","010183000654","71","01","-85.720500","34.940100",0,4,224
"162","BRIDGEPORT MIDDLE SCH","010183000655","71","01","-85.714500","34.943700",5,8,169
"163","BRIGHTON MIDDLE SCH","010192000691","73","01","-86.955200","33.443700",0,8,484
"164","BRILLIANT ELEM SCH","010231000861","93","01","-87.761700","34.028000",0,6,156
"165","BRILLIANT HIGH SCH","010231000862","93","01","-87.763400","34.019600",6,12,151
"166","BRINDLEE MT HIGH SCH","010000601585","95","01","-86.421900","34.376400",9,12,365
"167","BRINDLEE MT MIDDLE SCH","010000601434","95","01","-86.422300","34.377200",6,8,258
"168","BROCK'S GAP INTERMEDIATE SCH","010000702186","73","01","-86.888700","33.343900",5,6,822
"169","BROOKHAVEN MIDDLE SCH","010117000428","103","01","-86.993900","34.586600",6,8,399
"170","BROOKHILL ELEM SCH","010012001758","83","01","-86.962900","34.781800",0,4,306
"171","BROOKS ELEM SCH","010201001545","77","01","-87.529900","34.863800",-1,6,941
"172","BROOKS HIGH SCH","010201000764","77","01","-87.493900","34.857600",7,12,778
"173","BROOKVILLE ELEM SCH","010192000692","73","01","-86.957600","33.631000",0,5,229
"174","BROOKWOOD ELEM SCH","010339001273","125","01","-87.315100","33.259400",0,5,552
"175","BROOKWOOD FOREST ELEM SCH","010249001053","73","01","-86.719600","33.481000",0,6,505
"176","BROOKWOOD HIGH SCH","010339001274","125","01","-87.318300","33.257300",9,12,958
"177","BROOKWOOD MIDDLE SCH","010339001540","125","01","-87.282100","33.212100",6,8,806
"178","BROWNWOOD ELEM SCH","010294001144","71","01","-86.018600","34.670400",0,4,338
"179","BRUCE K CRAIG ELEM SCH","010111001785","47","01","-86.988500","32.361000",3,5,253
"180","BRYAN ELEM SCH","010192000720","73","01","-86.802000","33.763400",0,5,722
"181","BRYANT SCH","010183000656","71","01","-85.627000","34.938600",0,8,192
"182","BRYCE ADOLESCENT SCH","010001601828","73","01","-86.804500","33.505100",5,12,524.598433921844
"183","BUCKHORN HIGH SCH","010222001683","89","01","-86.455300","34.870300",9,12,1398
"184","BUCKHORN MIDDLE SCHOOL","010222002163","89","01","-86.453300","34.871800",7,8,711
"185","BUHL ELEM SCH","010339001275","125","01","-87.751600","33.256100",0,5,179
"186","BULLOCK CO AREA VOC CTR","010048000688","11","01","-85.712100","32.143300",8,12,524.598433921844
"187","BULLOCK CO HIGH SCH","010048000218","11","01","-85.724100","32.130700",9,12,454
"188","BURNS MIDDLE SCH","010237000990","97","01","-88.183800","30.616900",6,8,1015
"189","BUSH HILLS ACADEMY","010039002204","73","01","-86.864200","33.516300",-1,8,526
"190","BUSH MIDDLE SCH-MAGNET","010039000108","73","01","-86.893400","33.505100",0,8,472
"191","BUTLER CO AREA VOC SCH","010051000690","13","01","-86.628700","31.815300",10,12,524.598433921844
"192","BYRD ELEM SCH","010297001149","47","01","-87.030700","32.411200",-1,5,141
"193","C I T Y PROG","010162001368","55","01","-85.989000","34.004600",6,12,9
"194","C I T Y SCH","010243001118","101","01","-86.355400","32.348400",6,12,524.598433921844
"195","C L SALTER ELEM SCH","010315001201","121","01","-86.081000","33.455500",0,6,313
"196","C P CARMICHAEL ALT SCH","010240001087","99","01","-87.337200","31.496600",0,12,524.598433921844
"197","C-STARS","010312001389","121","01","-86.238600","33.181000",9,12,524.598433921844
"198","C.F. TAYLOR ALT SCH","010027002180","3","01","-87.696900","30.552100",-2,-2,524.598433921844
"199","CAHABA HEIGHTS COMM SCH","010343002103","73","01","-86.737300","33.452000",-1,5,417
"200","CALCEDEAVER ELEM SCH","010237000904","97","01","-88.115100","31.112100",-1,6,229
"201","CALDWELL ELEM SCH","010294001145","71","01","-86.032300","34.659600",0,4,415
"202","CALERA ELEM SCH","010303001169","117","01","-86.750100","33.107600",0,2,705
"203","CALERA HIGH SCH","010303001170","117","01","-86.768300","33.093100",9,12,652
"204","CALERA INTERMEDIATE SCH","010303002199","117","01","-86.753200","33.100200",3,5,630
"205","CALERA MIDDLE SCH","010303001868","117","01","-86.788500","33.141300",6,8,624
"206","CALHOUN CO ALT SCH","010054000700","15","01","-85.760000","33.800900",0,12,524.598433921844
"207","CALHOUN CO CAREER TECH CTR","010054000708","15","01","-85.758300","33.801800",10,12,524.598433921844
"208","CALHOUN HIGH SCH","010216000815","85","01","-86.552900","32.056900",9,12,258
"209","CALLOWAY SMITH MIDDLE SCH","010237000992","97","01","-88.045600","30.682500",6,8,735
"210","CAMDEN SCH OF ARTS & TECH","010351001809","131","01","-87.294700","31.994600",7,8,324
"211","CAMPS","010000201667","1","01","-86.530100","32.521700",7,12,524.598433921844
"212","CAPITOL HEIGHTS JR HIGH SCH","010243000995","101","01","-86.271500","32.382600",6,8,680
"213","CARBON HILL ELEM-JR HIGH SCH","010345000131","127","01","-87.505300","33.903700",-1,8,635
"214","CARBON HILL HIGH SCH","010345000135","127","01","-87.505400","33.903700",9,12,436
"215","CARBON HILL START SCH","010345001227","127","01","-87.451400","33.864900",7,12,524.598433921844
"216","CAREER TECHNICAL CENTER","010138000853","55","01","-86.104900","33.996300",9,12,524.598433921844
"217","CARLISLE ELEM SCH","010138000493","55","01","-86.117100","34.118400",0,6,529
"218","CARROLL HIGH SCH","010264001080","45","01","-85.625100","31.460600",9,12,747
"219","CARROLL HIGH SCH CAREER CTR","010264001386","45","01","-85.629700","31.461500",9,12,524.598433921844
"220","CARROLLTON ELEM SCH","010273001100","107","01","-88.094700","33.260400",0,6,524.598433921844
"221","CARVER ELEM SCH","010243000996","101","01","-86.334300","32.349000",-1,5,486
"222","CARVER MAGNET SCH FOR MATH SCI AND TECH","010123000443","69","01","-85.375100","31.236000",6,8,565
"223","CARVER MIDDLE SCH","010168001520","63","01","-87.874000","32.832600",4,8,313
"224","CARVER PRIMARY SCH","010258001067","81","01","-85.376600","32.635800",-1,2,374
"225","CARVER SENIOR HIGH SCH","010243001015","101","01","-86.325700","32.350600",9,12,1354
"226","CARY WOODS ELEM SCH","010021000039","81","01","-85.485100","32.621100",0,2,527
"227","CATOMA ELEM SCH","010243000998","101","01","-86.444800","32.312800",-1,5,282
"228","CE HANNA SCH","010263501733","15","01","-85.875900","33.598600",5,6,655
"229","CEDAR BLUFF HIGH SCH","010063000274","19","01","-85.604500","34.219800",0,12,608
"230","CEDAR HILL ELEM SCH","010210002081","83","01","-86.821000","34.978200",0,5,601
"231","CEDAR PARK ELEM SCH","010297001150","47","01","-87.025900","32.443500",-1,5,181
"232","CEDAR RIDGE MIDDLE SCH","010117000081","103","01","-87.019700","34.559500",6,8,856
"233","CENTRAL BALDWIN MIDDLE SCH","010027000162","3","01","-87.725900","30.582400",7,8,656
"234","CENTRAL CLAY COUNTY JR HIGH SCH","010075002205","27","01","-85.787300","33.290800",7,8,368
"235","CENTRAL ELEM SCH","010216000816","85","01","-86.678300","32.155100",0,5,294
"236","CENTRAL ELEM SCH","010090002074","37","01","-86.201600","33.006700",0,4,406
"237","CENTRAL FRESHMAN ACAD","010270002140","113","01","-85.037800","32.487500",9,9,421
"238","CENTRAL HIGH SCH","010336001608","125","01","-87.549100","33.198200",9,12,661
"239","CENTRAL HIGH SCH","010216000817","85","01","-86.678300","32.155100",9,12,247
"240","CENTRAL HIGH SCH","010201000765","77","01","-87.796800","34.897900",-1,12,1373
"241","CENTRAL HIGH SCH","010090001749","37","01","-86.199500","33.004500",9,12,347
"242","CENTRAL HIGH SCH","010270001088","113","01","-85.039700","32.485000",10,12,1346
"243","CENTRAL MIDDLE SCH","010090002075","37","01","-86.201600","33.006700",5,8,357
"244","CENTRAL PK ELEM SCH","010039000112","73","01","-86.885900","33.484200",0,5,521
"245","CENTRAL PRIMARY SCH","010336001252","125","01","-87.575600","33.199700",-1,5,350
"246","CENTRAL SCH","010222001684","89","01","-86.454800","34.765400",0,8,783
"247","CENTRE ELEM SCH","010063000275","19","01","-85.670500","34.149800",0,4,680
"248","CENTRE MIDDLE SCH","010063000276","19","01","-85.650700","34.136700",5,8,522
"249","CENTREVILLE ELEM SCH","010036000095","7","01","-87.161400","32.940900",0,4,610
"250","CF VIGOR HIGH SCH","010237000964","97","01","-88.080700","30.743200",9,12,773
"251","CHALKVILLE ELEM SCH","010192000695","73","01","-86.661500","33.643100",0,5,1126
"252","CHALLENGER ELEM SCH","010180001773","89","01","-86.547700","34.611300",-1,5,585
"253","CHALLENGER MIDDLE SCH","010180001774","89","01","-86.547700","34.611300",6,8,526
"254","CHAMBERS CO CAREER TECH CTR","010060000738","17","01","-85.372900","32.890000",9,12,524.598433921844
"255","CHAPMAN ELEM SCH","010180000622","89","01","-86.558800","34.751600",-1,6,347
"256","CHAPMAN MIDDLE SCH","010180001527","89","01","-86.558800","34.751600",7,8,524.598433921844
"257","CHARLES A BROWN ELEM SCH","010039000107","73","01","-86.899800","33.485600",0,5,355
"258","CHARLES F HARD ELEM SCH","010033000084","73","01","-86.941000","33.409700",-1,5,275
"259","CHARLES HENDERSON HIGH SCH","010333001602","109","01","-85.948000","31.802100",9,12,603
"260","CHARLES HENDERSON MIDDLE","010333001603","109","01","-85.952300","31.809400",6,8,344
"261","CHARLES R DREW MIDDLE SCH","010318001211","121","01","-86.100000","33.635600",6,8,389
"262","CHATOM ELEM SCH","010348001333","129","01","-88.268500","31.457300",0,4,328
"263","CHELSEA ELEMENTARY SCH","010303002189","117","01","-86.629500","33.326800",0,5,748
"264","CHELSEA HIGH SCH","010303001171","117","01","-86.684500","33.334500",9,12,1090
"265","CHELSEA INTERMEDIATE SCH","010303001814","117","01","-86.635900","33.334100",4,5,524.598433921844
"266","CHELSEA MIDDLE SCH","010303000031","117","01","-86.636000","33.334000",6,8,966
"267","CHELSEA PK ELEM SCH","010303001822","117","01","-86.578800","33.333300",0,5,763
"268","CHEROKEE BEND ELEM SCH","010249001054","73","01","-86.716300","33.509900",0,6,508
"269","CHEROKEE CO CAREER & TECH CTR","010063000741","19","01","-85.686500","34.159700",7,12,524.598433921844
"270","CHEROKEE CO HIGH SCH","010063000278","19","01","-85.658700","34.163800",9,12,458
"271","CHEROKEE ELEM SCH","010169000580","95","01","-86.332400","34.321600",3,5,461
"272","CHEROKEE ELEM SCH","010084000331","33","01","-87.963900","34.769500",-1,6,350
"273","CHEROKEE HIGH SCH","010084000333","33","01","-87.963300","34.765700",7,12,304
"274","CHEROKEE MIDDLE SCH","010084000332","33","01","-87.958400","34.752900",5,8,524.598433921844
"275","CHESTNUT GROVE ELEM SCH","010117001786","103","01","-87.014100","34.549500",-1,5,418
"276","CHICKASAW CITY HIGH SCH","010018802194","97","01","-88.078500","30.757100",6,12,391
"277","CHICKASAW ELEMENTARY","010018802193","97","01","-88.080100","30.756400",-1,5,491
"278","CHICKASAW SCH OF MATHEMATICS AND SCIENCE","010237000905","97","01","-88.077900","30.757000",0,4,524.598433921844
"279","CHILD COUNT ONLY","010019002216","117","01","-86.825800","33.232800",-2,-2,524.598433921844
"280","CHILD COUNT ONLY","010123001873","69","01","-85.395000","31.218000",-1,12,524.598433921844
"281","CHILD COUNT ONLY","010297001872","47","01","-87.023700","32.429200",1,12,524.598433921844
"282","CHILDERSBURG BOOT CAMP","010017602108","121","01","-86.351800","33.302400",-2,-2,524.598433921844
"283","CHILDERSBURG ELEM SCH","010318001212","121","01","-86.349300","33.300300",0,4,244
"284","CHILDERSBURG HIGH SCH","010318001213","121","01","-86.347000","33.260900",9,12,482
"285","CHILDERSBURG MIDDLE SCH","010318001756","121","01","-86.342700","33.274700",5,8,491
"286","CHILDRENS CTR","010243001691","101","01","-86.282500","32.384700",-1,12,94
"287","CHILTON CO ALTERNATIVE SCH","010066002190","21","01","-86.625300","32.842600",6,12,524.598433921844
"288","CHILTON CO HIGH SCH","010066001491","21","01","-86.612700","32.821900",9,12,815
"289","CHISHOLM ELEM SCH","010243001001","101","01","-86.279300","32.418500",-1,5,606
"290","CHOCTAW CO ELEMENTARY","010069001561","23","01","-88.233600","32.081900",0,6,496
"291","CHOCTAW CO HIGH SCH","010069000291","23","01","-88.233200","32.079800",7,12,397
"292","CHRISTIAN ALT SCH","010039000113","73","01","-86.690300","33.580500",0,8,586
"293","CITRONELLE HIGH SCH","010237000906","97","01","-88.235900","31.093400",9,12,827
"294","CITY ELEM","010039001270","73","01","-86.789500","33.514800",7,8,524.598433921844
"295","CITY HIGH SCH","010039001281","73","01","-86.789500","33.514800",9,12,524.598433921844
"296","CL SCARBOROUGH MIDDLE SCH","010237000954","97","01","-88.143300","30.726500",6,8,419
"297","CLANTON ELEM SCH","010066000286","21","01","-86.614500","32.824700",-1,2,746
"298","CLANTON INTERMEDIATE SCH","010066001431","21","01","-86.611500","32.824300",3,5,687
"299","CLANTON MIDDLE SCH","010066000287","21","01","-86.613200","32.826200",6,8,682
"300","CLARK ELEM SCH","010297001151","47","01","-87.017800","32.412200",-1,5,500
